,index,start,end,duration (hrs),sep from
0,0,2012-01-08 10:45:00,2012-01-09 00:00:00,13.25,LBJ PT
1,1,2012-01-09 17:30:00,2012-01-09 23:15:00,5.75,LBJ PT
2,2,2012-01-18 14:00:00,2012-01-19 09:30:00,19.5,LBJ PT
3,3,2012-01-19 13:45:00,2012-01-20 01:15:00,11.5,LBJ PT
4,4,2012-01-25 03:30:00,2012-01-26 00:00:00,20.5,LBJ PT
5,5,2012-01-31 23:00:00,2012-02-01 14:45:00,15.75,LBJ PT
6,6,2012-02-01 20:45:00,2012-02-02 05:30:00,8.75,LBJ PT
7,7,2012-02-02 05:45:00,2012-02-02 20:30:00,14.75,LBJ PT
8,8,2012-02-03 08:00:00,2012-02-04 02:15:00,18.25,LBJ PT
9,9,2012-02-04 19:00:00,2012-02-04 23:00:00,4.0,LBJ PT
10,10,2012-02-05 06:00:00,2012-02-05 19:45:00,13.75,LBJ PT
11,11,2012-02-05 23:15:00,2012-02-06 09:30:00,10.25,LBJ PT
12,12,2012-02-06 10:45:00,2012-02-07 00:15:00,13.5,LBJ PT
13,13,2012-02-07 00:30:00,2012-02-07 03:00:00,2.5,LBJ PT
14,14,2012-02-07 06:45:00,2012-02-07 12:30:00,5.75,LBJ PT
15,15,2012-02-13 22:00:00,2012-02-14 02:30:00,4.5,LBJ PT
16,16,2012-02-23 19:30:00,2012-02-24 14:00:00,18.5,LBJ PT
17,17,2012-03-05 14:45:00,2012-03-05 22:00:00,7.25,LBJ PT
18,18,2012-03-06 12:15:00,2012-03-07 09:30:00,21.25,LBJ PT
19,19,2012-03-08 16:30:00,2012-03-09 01:45:00,9.25,LBJ PT
20,20,2012-03-09 05:45:00,2012-03-09 21:00:00,15.25,LBJ PT
21,21,2012-03-15 20:15:00,2012-03-16 06:45:00,10.5,LBJ PT
22,22,2012-03-16 08:15:00,2012-03-17 02:30:00,18.25,LBJ PT
23,23,2012-03-17 11:00:00,2012-03-18 07:30:00,20.5,LBJ PT
24,24,2012-03-20 03:00:00,2012-03-20 12:45:00,9.75,LBJ PT
25,25,2012-03-21 18:45:00,2012-03-22 17:30:00,22.75,LBJ PT
26,26,2012-03-22 22:00:00,2012-03-23 17:30:00,19.5,LBJ PT
27,27,2012-03-23 22:00:00,2012-03-24 09:15:00,11.25,LBJ PT
28,28,2012-03-24 17:00:00,2012-03-25 01:45:00,8.75,LBJ PT
29,29,2012-03-25 03:45:00,2012-03-26 11:45:00,32.0,LBJ PT
30,30,2012-03-31 14:15:00,2012-03-31 22:45:00,8.5,LBJ PT
31,31,2012-04-03 01:15:00,2012-04-03 07:00:00,5.75,LBJ PT
