Site_ID	Date_Time	discharge_(ft3/s)	Uncertainty(±%)	conc_NO3N_mg/l	Uncertainty(±%)	load_sediment(SSC)_kg	Uncertainty(±%)
Wild Creek	3/12/2007 11:30	0.0	50	1	42	0.000	53
Wild Creek	3/12/2007 11:45	0.9	10	1	42	0.024	31
Wild Creek	3/12/2007 12:00	14.9	23	1	42	0.379	36
Wild Creek	3/12/2007 12:15	15.3	23	1	42	0.389	36
Wild Creek	3/12/2007 12:30	15.8	23	1	42	0.404	36
Wild Creek	3/12/2007 12:45	15.5	23	1	42	0.394	36
Wild Creek	3/12/2007 13:00	15.3	23	1	42	0.391	36
Wild Creek	3/12/2007 13:15	14.3	23	1	42	0.364	36
Wild Creek	3/12/2007 13:30	13.9	23	1	42	0.355	36
Wild Creek	3/12/2007 13:45	13.3	23	1	42	0.338	36
Wild Creek	3/12/2007 14:00	12.6	23	1	42	0.320	36
Wild Creek	3/12/2007 14:15	12.2	23	1	42	0.311	36
Wild Creek	3/12/2007 14:30	11.6	23	1	42	0.295	36
Wild Creek	3/12/2007 14:45	11.1	23	1	42	0.283	36
Wild Creek	3/12/2007 15:00	10.4	23	1	42	0.265	36
Wild Creek	3/12/2007 15:15	10.2	23	1	42	0.259	36
Wild Creek	3/12/2007 15:30	9.7	10	1	42	0.247	31
Wild Creek	3/12/2007 15:45	9.5	10	1	42	0.242	31
Wild Creek	3/12/2007 16:00	9.0	10	1	42	0.228	31
Wild Creek	3/12/2007 16:15	8.9	10	1	42	0.227	31
Wild Creek	3/12/2007 16:30	8.5	10	1	42	0.218	31
Wild Creek	3/12/2007 16:45	8.2	10	1	42	0.210	31
Wild Creek	3/12/2007 17:00	8.2	10	1	42	0.208	31
Wild Creek	3/12/2007 17:15	7.6	10	1	42	0.195	31
Wild Creek	3/12/2007 17:30	7.7	10	1	42	0.196	31
Wild Creek	3/12/2007 17:45	7.3	10	1	42	0.186	31
Wild Creek	3/12/2007 18:00	7.3	10	1	42	0.186	31
Wild Creek	3/12/2007 18:15	6.9	10	1	42	0.176	31
Wild Creek	3/12/2007 18:30	6.8	10	1	42	0.173	31
Wild Creek	3/12/2007 18:45	6.9	10	1	42	0.176	31
Wild Creek	3/12/2007 19:00	6.7	10	1	42	0.171	31
Wild Creek	3/12/2007 19:15	6.6	10	1	42	0.168	31
Wild Creek	3/12/2007 19:30	6.5	10	1	42	0.166	31
Wild Creek	3/12/2007 19:45	6.5	10	1	42	0.166	31
Wild Creek	3/12/2007 20:00	6.3	10	1	42	0.161	31
Wild Creek	3/12/2007 20:15	6.2	10	1	42	0.157	31
