Site_ID	Date_Time	discharge_(ft3/s)	Uncertainty(±%)	conc_NO3N_mg/l	Uncertainty(±%)	load_sediment(SSC)_kg	Uncertainty(±%)
Wild Creek	3/12/2007 11:30	0.0	50	1	42	0.000	53
Wild Creek	3/12/2007 11:45	0.9		1		0.024	
Wild Creek	3/12/2007 12:00	14.9		1		0.379	
Wild Creek	3/12/2007 12:15	15.3		1		0.389	
Wild Creek	3/12/2007 12:30	15.8		1		0.404	
Wild Creek	3/12/2007 12:45	15.5		1		0.394	
Wild Creek	3/12/2007 13:00	15.3		1		0.391	
Wild Creek	3/12/2007 13:15	14.3		1		0.364	
Wild Creek	3/12/2007 13:30	13.9		1		0.355	
Wild Creek	3/12/2007 13:45	13.3		1		0.338	
Wild Creek	3/12/2007 14:00	12.6		1		0.320	
Wild Creek	3/12/2007 14:15	12.2		1		0.311	
Wild Creek	3/12/2007 14:30	11.6		1		0.295	
Wild Creek	3/12/2007 14:45	11.1		1		0.283	
Wild Creek	3/12/2007 15:00	10.4		1		0.265	
Wild Creek	3/12/2007 15:15	10.2		1		0.259	
Wild Creek	3/12/2007 15:30	9.7		1		0.247	
Wild Creek	3/12/2007 15:45	9.5		1		0.242	
Wild Creek	3/12/2007 16:00	9.0		1		0.228	
Wild Creek	3/12/2007 16:15	8.9		1		0.227	
Wild Creek	3/12/2007 16:30	8.5		1		0.218	
Wild Creek	3/12/2007 16:45	8.2		1		0.210	
Wild Creek	3/12/2007 17:00	8.2		1		0.208	
Wild Creek	3/12/2007 17:15	7.6		1		0.195	
Wild Creek	3/12/2007 17:30	7.7		1		0.196	
Wild Creek	3/12/2007 17:45	7.3		1		0.186	
Wild Creek	3/12/2007 18:00	7.3		1		0.186	
Wild Creek	3/12/2007 18:15	6.9		1		0.176	
Wild Creek	3/12/2007 18:30	6.8		1		0.173	
Wild Creek	3/12/2007 18:45	6.9		1		0.176	
Wild Creek	3/12/2007 19:00	6.7		1		0.171	
Wild Creek	3/12/2007 19:15	6.6		1		0.168	
Wild Creek	3/12/2007 19:30	6.5		1		0.166	
Wild Creek	3/12/2007 19:45	6.5		1		0.166	
Wild Creek	3/12/2007 20:00	6.3		1		0.161	
Wild Creek	3/12/2007 20:15	6.2		1		0.157	
Wild Creek	3/12/2007 20:30	6.2		1		0.159	
Wild Creek	3/12/2007 20:45	6.0		1		0.154	
Wild Creek	3/12/2007 21:00	6.0		1		0.153	
Wild Creek	3/12/2007 21:15	5.9		1		0.151	
Wild Creek	3/12/2007 21:30	5.8		1		0.148	
Wild Creek	3/12/2007 21:45	5.8		1		0.148	
Wild Creek	3/12/2007 22:00	5.7		1		0.145	
Wild Creek	3/12/2007 22:15	5.6		1		0.144	
Wild Creek	3/12/2007 22:30	5.4		1		0.138	
Wild Creek	3/12/2007 22:45	5.3		1		0.136	
Wild Creek	3/12/2007 23:00	5.2		1		0.134	
Wild Creek	3/12/2007 23:15	4.7		1		0.119	
Wild Creek	3/12/2007 23:30	4.6		1		0.118	
Wild Creek	3/12/2007 23:45	4.6		1		0.116	
Wild Creek	3/13/2007 0:00	4.3		1		0.109	
Wild Creek	3/13/2007 0:15	4.2		1		0.106	
Wild Creek	3/13/2007 0:30	4.1		1		0.105	
Wild Creek	3/13/2007 0:45	4.1		1		0.103	
Wild Creek	3/13/2007 1:00	3.8		1		0.097	
Wild Creek	3/13/2007 1:15	3.4		1		0.087	
Wild Creek	3/13/2007 1:30	3.7		1		0.095	
Wild Creek	3/13/2007 1:45	3.4		1		0.086	
Wild Creek	3/13/2007 2:00	3.0		1		0.078	
Wild Creek	3/13/2007 2:15	3.0		1		0.078	
Wild Creek	3/13/2007 2:30	3.1		1		0.079	
Wild Creek	3/13/2007 2:45	2.9		1		0.075	
Wild Creek	3/13/2007 3:00	2.7		1		0.068	
Wild Creek	3/13/2007 3:15	2.4		1		0.060	
Wild Creek	3/13/2007 3:30	2.3		1		0.057	
Wild Creek	3/13/2007 3:45	2.2		1		0.056	
Wild Creek	3/13/2007 4:00	2.2		1		0.056	
Wild Creek	3/13/2007 4:15	2.1		1		0.054	
Wild Creek	3/13/2007 4:30	2.0		1		0.052	
Wild Creek	3/13/2007 4:45	1.8		1		0.047	
Wild Creek	3/13/2007 5:00	2.1		1		0.053	
Wild Creek	3/13/2007 5:15	1.7		1		0.042	
Wild Creek	3/13/2007 5:30	1.6		1		0.040	
Wild Creek	3/13/2007 5:45	1.5		1		0.038	
Wild Creek	3/13/2007 6:00	1.5		1		0.038	
Wild Creek	3/13/2007 6:15	1.6		1		0.040	
Wild Creek	3/13/2007 6:30	1.4		1		0.037	
Wild Creek	3/13/2007 6:45	1.3		1		0.034	
Wild Creek	3/13/2007 7:00	1.3		1		0.034	
Wild Creek	3/13/2007 7:15	1.3		1		0.033	
Wild Creek	3/13/2007 7:30	1.3		1		0.033	
Wild Creek	3/13/2007 7:45	1.2		1		0.032	
Wild Creek	3/13/2007 8:00	1.2		1		0.031	
Wild Creek	3/13/2007 8:15	1.2		1		0.030	
Wild Creek	3/13/2007 8:30	1.1		1		0.029	
Wild Creek	3/13/2007 8:45	1.1		1		0.028	
Wild Creek	3/13/2007 9:00	1.2		1		0.030	
Wild Creek	3/13/2007 9:15	1.1		1		0.028	
Wild Creek	3/13/2007 9:30	1.1		1		0.028	
Wild Creek	3/13/2007 9:45	1.1		1		0.029	
Wild Creek	3/13/2007 10:00	1.1		1		0.028	
Wild Creek	3/13/2007 10:15	1.1		1		0.028	
Wild Creek	3/13/2007 10:30	1.1		1		0.028	
Wild Creek	3/13/2007 10:45	1.1		1		0.027	
Wild Creek	3/13/2007 11:00	1.1		1		0.027	
Wild Creek	3/13/2007 11:15	1.0		1		0.026	
Wild Creek	3/13/2007 11:30	1.0		1.5		0.038	
Wild Creek	3/13/2007 11:45	1.0		1.5		0.037	
Wild Creek	3/13/2007 12:00	1.0		1.5		0.037	
Wild Creek	3/13/2007 12:15	0.9		1.5		0.036	
Wild Creek	3/13/2007 12:30	0.9		1.5		0.036	
Wild Creek	3/13/2007 12:45	0.9		1.5		0.035	
Wild Creek	3/13/2007 13:00	0.9		1.5		0.035	
Wild Creek	3/13/2007 13:15	0.9		1.5		0.035	
Wild Creek	3/13/2007 13:30	0.9		1.5		0.035	
Wild Creek	3/13/2007 13:45	0.9		1.5		0.035	
Wild Creek	3/13/2007 14:00	0.9		1.5		0.035	
Wild Creek	3/13/2007 14:15	1.0		1.5		0.039	
Wild Creek	3/13/2007 14:30	1.0		1.5		0.039	
Wild Creek	3/13/2007 14:45	1.0		1.5		0.039	
Wild Creek	3/13/2007 15:00	1.0		1.5		0.039	
Wild Creek	3/13/2007 15:15	1.0		1.5		0.039	
Wild Creek	3/13/2007 15:30	1.1		1.5		0.042	
Wild Creek	3/13/2007 15:45	1.0		1.5		0.040	
Wild Creek	3/13/2007 16:00	1.1		1.5		0.042	
Wild Creek	3/13/2007 16:15	1.1		1.5		0.042	
Wild Creek	3/13/2007 16:30	1.2		1.5		0.045	
Wild Creek	3/13/2007 16:45	2.5		1.5		0.097	
Wild Creek	3/13/2007 17:00	5.8		1.5		0.221	
Wild Creek	3/13/2007 17:15	6.6		1.5		0.254	
Wild Creek	3/13/2007 17:30	7.1		1.5		0.272	
Wild Creek	3/13/2007 17:45	7.2		1.5		0.276	
Wild Creek	3/13/2007 18:00	7.5		1.5		0.286	
Wild Creek	3/13/2007 18:15	7.5		1.5		0.286	
Wild Creek	3/13/2007 18:30	7.5		1.5		0.288	
Wild Creek	3/13/2007 18:45	7.3		1.5		0.279	
Wild Creek	3/13/2007 19:00	7.0		1.5		0.269	
Wild Creek	3/13/2007 19:15	6.9		1.5		0.264	
Wild Creek	3/13/2007 19:30	6.8		1.5		0.258	
Wild Creek	3/13/2007 19:45	6.5		1.5		0.249	
Wild Creek	3/13/2007 20:00	6.4		1.5		0.243	
Wild Creek	3/13/2007 20:15	6.3		1.5		0.239	
Wild Creek	3/13/2007 20:30	6.3		1.5		0.239	
Wild Creek	3/13/2007 20:45	6.2		1.5		0.237	
Wild Creek	3/13/2007 21:00	6.1		1.5		0.234	
Wild Creek	3/13/2007 21:15	6.0		1.5		0.231	
Wild Creek	3/13/2007 21:30	6.0		1.5		0.229	
Wild Creek	3/13/2007 21:45	5.9		1.5		0.227	
Wild Creek	3/13/2007 22:00	5.9		1.5		0.225	
Wild Creek	3/13/2007 22:15	5.8		1.5		0.222	
Wild Creek	3/13/2007 22:30	5.6		1.5		0.213	
Wild Creek	3/13/2007 22:45	5.5		1.5		0.212	
Wild Creek	3/13/2007 23:00	5.5		1.5		0.211	
Wild Creek	3/13/2007 23:15	4.9		1.5		0.187	
Wild Creek	3/13/2007 23:30	4.5		1.5		0.173	
Wild Creek	3/13/2007 23:45	4.4		1.5		0.167	
Wild Creek	3/14/2007 0:00	4.2		1.5		0.162	
Wild Creek	3/14/2007 0:15	3.8		1.5		0.144	
Wild Creek	3/14/2007 0:30	3.7		1.5		0.140	
Wild Creek	3/14/2007 0:45	3.2		1.5		0.124	
Wild Creek	3/14/2007 1:00	3.2		1.5		0.122	
Wild Creek	3/14/2007 1:15	2.8		1.5		0.107	
Wild Creek	3/14/2007 1:30	2.4		1.5		0.093	
Wild Creek	3/14/2007 1:45	2.4		1.5		0.090	
Wild Creek	3/14/2007 2:00	2.2		1.5		0.083	
Wild Creek	3/14/2007 2:15	1.9		1.5		0.073	
Wild Creek	3/14/2007 2:30	2.1		1.5		0.079	
Wild Creek	3/14/2007 2:45	1.6		1.5		0.061	
Wild Creek	3/14/2007 3:00	1.4		1.5		0.054	
Wild Creek	3/14/2007 3:15	1.4		1.5		0.052	
Wild Creek	3/14/2007 3:30	1.3		1.5		0.051	
Wild Creek	3/14/2007 3:45	1.3		1.5		0.050	
Wild Creek	3/14/2007 4:00	1.2		1.5		0.045	
Wild Creek	3/14/2007 4:15	1.2		1.5		0.046	
Wild Creek	3/14/2007 4:30	1.1		1.5		0.043	
Wild Creek	3/14/2007 4:45	1.1		1.5		0.043	
Wild Creek	3/14/2007 5:00	1.1		1.5		0.043	
Wild Creek	3/14/2007 5:15	1.1		1.5		0.042	
