YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2014,12,13,0,0,100,3.6,5.1,999,999,999,999,1009.8,28.7,29.6,999,999,999,999
2014,12,13,0,6,100,4.1,5.7,999,999,999,999,1009.8,28.7,29.6,999,999,999,999
2014,12,13,0,12,90,4.6,5.7,999,999,999,999,1009.7,28.6,29.5,999,999,999,999
2014,12,13,0,18,100,3.6,5.7,999,999,999,999,1009.6,28.6,29.5,999,999,999,999
2014,12,13,0,24,100,4.1,5.7,999,999,999,999,1009.5,28.9,29.4,999,999,999,999
2014,12,13,0,30,90,3.6,6.2,999,999,999,999,1009.5,28.6,29.4,999,999,999,999
2014,12,13,0,36,100,4.6,5.7,999,999,999,999,1009.4,28.3,29.5,999,999,999,999
2014,12,13,0,42,90,4.1,5.1,999,999,999,999,1009.4,28.4,29.6,999,999,999,999
2014,12,13,0,48,100,3.6,5.1,999,999,999,999,1009.4,28.7,29.9,999,999,999,999
2014,12,13,0,54,90,4.1,6.7,999,999,999,999,1009.3,28.6,30,999,999,999,999
2014,12,13,1,0,100,4.1,5.7,999,999,999,999,1009.3,28.7,29.9,999,999,-1.7,999
2014,12,13,1,6,100,3.6,5.7,999,999,999,999,1009.3,28.6,30.1,999,999,999,999
2014,12,13,1,12,70,4.6,5.7,999,999,999,999,1009.3,28.6,30.1,999,999,999,999
2014,12,13,1,18,70,4.6,6.7,999,999,999,999,1009.3,28.5,29.9,999,999,999,999
2014,12,13,1,24,80,4.1,6.7,999,999,999,999,999,28.4,30,999,999,999,999
2014,12,13,1,30,90,4.1,6.2,999,999,999,999,999,28.3,30.1,999,999,999,999
2014,12,13,1,36,70,4.6,6.2,999,999,999,999,1009.3,28.4,30.1,999,999,999,999
2014,12,13,1,42,60,4.1,6.2,999,999,999,999,1009.2,28.5,30.1,999,999,999,999
2014,12,13,1,48,90,4.1,4.6,999,999,999,999,1009.1,28.6,30.1,999,999,999,999
2014,12,13,1,54,90,3.1,5.7,999,999,999,999,1009.1,28.8,30.1,999,999,999,999
2014,12,13,2,0,90,4.6,5.7,999,999,999,999,1008.9,28.6,30.2,999,999,-1.3,999
2014,12,13,2,6,100,4.1,5.1,999,999,999,999,999,999,999,999,999,999,999
2014,12,13,2,12,90,4.1,6.2,999,999,999,999,1008.9,28.4,30.2,999,999,999,999
2014,12,13,2,18,70,4.1,5.7,999,999,999,999,1008.9,28.6,30.1,999,999,999,999
2014,12,13,2,24,80,4.6,6.2,999,999,999,999,1008.9,28.4,30,999,999,999,999
2014,12,13,2,30,100,3.6,5.1,999,999,999,999,1008.9,28.5,29.9,999,999,999,999
2014,12,13,2,36,90,3.6,5.1,999,999,999,999,1008.9,28.6,30,999,999,999,999
2014,12,13,2,42,90,3.6,4.6,999,999,999,999,1009,28.5,30.2,999,999,999,999
2014,12,13,2,48,110,3.1,4.6,999,999,999,999,1009,28.5,30.1,999,999,999,999
2014,12,13,2,54,90,3.1,4.6,999,999,999,999,1009,28.5,30.2,999,999,999,999
2014,12,13,3,0,100,3.6,4.6,999,999,999,999,1009,28.3,30.2,999,999,-0.8,999
2014,12,13,3,6,80,2.6,4.6,999,999,999,999,1009.1,28.4,30.1,999,999,999,999
2014,12,13,3,12,70,3.1,5.7,999,999,999,999,1009.1,28.4,30,999,999,999,999
2014,12,13,3,18,60,3.6,5.7,999,999,999,999,1009.1,28.4,30,999,999,999,999
2014,12,13,3,24,70,3.6,6.2,999,999,999,999,1009.1,28.4,30.1,999,999,999,999
2014,12,13,3,30,70,3.6,6.2,999,999,999,999,1009.2,28.3,30,999,999,999,999
2014,12,13,3,36,60,3.6,7.2,999,999,999,999,1009.1,28.3,30.1,999,999,999,999
2014,12,13,3,42,80,3.6,5.7,999,999,999,999,1009.3,28.3,30,999,999,999,999
2014,12,13,3,48,150,0.5,3.6,999,999,999,999,1009.3,28.6,30,999,999,999,999
2014,12,13,3,54,60,5.1,6.7,999,999,999,999,1009.3,28.3,30,999,999,999,999
2014,12,13,4,0,60,4.6,7.2,999,999,999,999,1009.4,28.4,30.1,999,999,0,999
2014,12,13,4,6,60,3.6,6.2,999,999,999,999,1009.3,28.4,30.1,999,999,999,999
2014,12,13,4,12,60,4.1,6.7,999,999,999,999,1009.4,28.4,30.1,999,999,999,999
2014,12,13,4,18,70,4.1,6.7,999,999,999,999,1009.4,28.4,30.1,999,999,999,999
2014,12,13,4,24,50,4.1,6.2,999,999,999,999,1009.4,28.3,30.1,999,999,999,999
2014,12,13,4,30,30,2.1,7.7,999,999,999,999,1009.6,28.2,30.1,999,999,999,999
2014,12,13,4,36,210,1,4.1,999,999,999,999,1009.6,28.1,30.1,999,999,999,999
2014,12,13,4,42,120,1,5.7,999,999,999,999,1009.6,28.2,30.1,999,999,999,999
2014,12,13,4,48,100,1.5,3.1,999,999,999,999,1009.6,28.1,30,999,999,999,999
2014,12,13,4,54,50,3.6,5.1,999,999,999,999,1009.7,28,30.1,999,999,999,999
2014,12,13,5,0,90,1.5,5.7,999,999,999,999,1009.8,28,30.1,999,999,0.9,999
2014,12,13,5,6,70,2.6,4.1,999,999,999,999,1009.7,27.9,30.1,999,999,999,999
2014,12,13,5,12,70,3.1,4.6,999,999,999,999,1009.7,27.9,30.1,999,999,999,999
2014,12,13,5,18,80,2.1,5.1,999,999,999,999,1009.7,27.9,30.1,999,999,999,999
2014,12,13,5,24,60,3.6,5.7,999,999,999,999,1009.7,27.9,30.2,999,999,999,999
2014,12,13,5,30,60,1,2.6,999,999,999,999,1009.8,27.9,30.1,999,999,999,999
2014,12,13,5,36,130,1,3.1,999,999,999,999,1009.8,27.9,30.1,999,999,999,999
2014,12,13,5,42,190,1,2.1,999,999,999,999,1009.9,27.9,30,999,999,999,999
2014,12,13,5,48,70,1.5,3.1,999,999,999,999,1010,27.9,30.1,999,999,999,999
2014,12,13,5,54,70,1.5,4.1,999,999,999,999,1010.1,28.1,30.1,999,999,999,999
2014,12,13,6,0,70,3.6,5.7,999,999,999,999,1010.1,28.1,30,999,999,1.1,999
2014,12,13,6,6,140,1.5,2.6,999,999,999,999,1010.2,28,30.1,999,999,999,999
2014,12,13,6,12,60,2.6,3.6,999,999,999,999,1010.2,28.1,30.1,999,999,999,999
2014,12,13,6,18,60,2.6,4.1,999,999,999,999,1010.2,28.1,30,999,999,999,999
2014,12,13,6,24,80,3.1,6.2,999,999,999,999,1010.2,28,30.1,999,999,999,999
2014,12,13,6,30,110,1,5.7,999,999,999,999,1010.2,27.9,30.1,999,999,999,999
2014,12,13,6,36,80,2.1,2.6,999,999,999,999,1010.2,28,30.1,999,999,999,999
2014,12,13,6,42,80,1.5,2.1,999,999,999,999,1010.3,28,30.1,999,999,999,999
