#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2014 01 01 00 00  78  0.5  4.3 99.00 99.00 99.00 999 1004.5  28.9  30.0 999.0 99.0 99.00
2014 01 01 00 06 291  0.4  1.8 99.00 99.00 99.00 999 1004.5  29.2  30.0 999.0 99.0 99.00
2014 01 01 00 12  85  2.7  4.8 99.00 99.00 99.00 999 1004.5  28.2  30.0 999.0 99.0 99.00
2014 01 01 00 18 132  3.3  5.1 99.00 99.00 99.00 999 1004.2  28.6  30.0 999.0 99.0 99.00
2014 01 01 00 24 173  3.0  7.3 99.00 99.00 99.00 999 1004.2  28.3  30.0 999.0 99.0 99.00
2014 01 01 00 30  64  3.6  5.8 99.00 99.00 99.00 999 1004.2  27.9  30.0 999.0 99.0 99.00
2014 01 01 00 36 111  4.8  7.7 99.00 99.00 99.00 999 1004.2  27.5  30.0 999.0 99.0 99.00
2014 01 01 00 42 122  4.9  7.9 99.00 99.00 99.00 999 1004.2  27.3  30.0 999.0 99.0 99.00
2014 01 01 00 48 132  2.0  4.8 99.00 99.00 99.00 999 1004.3  27.2  30.0 999.0 99.0 99.00
2014 01 01 00 54 121  3.2  4.6 99.00 99.00 99.00 999 1004.4  27.0  30.0 999.0 99.0 99.00
2014 01 01 01 00 177  2.1  7.6 99.00 99.00 99.00 999 1004.3  27.3  30.0 999.0 99.0 99.00
2014 01 01 01 06  84  2.9  5.1 99.00 99.00 99.00 999 1004.4  27.0  30.0 999.0 99.0 99.00
2014 01 01 01 12  93  3.1  6.2 99.00 99.00 99.00 999 1004.4  27.0  30.0 999.0 99.0 99.00
2014 01 01 01 18 120  1.7  3.1 99.00 99.00 99.00 999 1004.3  27.3  29.9 999.0 99.0 99.00
2014 01 01 01 24 118  1.5  2.7 99.00 99.00 99.00 999 1004.3  27.3  29.9 999.0 99.0 99.00
2014 01 01 01 30 127  3.1  4.3 99.00 99.00 99.00 999 1004.2  27.3  29.9 999.0 99.0 99.00
2014 01 01 01 36 121  3.2  5.0 99.00 99.00 99.00 999 1004.2  27.0  29.9 999.0 99.0 99.00
2014 01 01 01 42 146  2.5  4.1 99.00 99.00 99.00 999 1004.2  27.1  29.9 999.0 99.0 99.00
2014 01 01 01 48 110  3.9  5.9 99.00 99.00 99.00 999 1004.3  26.9  29.9 999.0 99.0 99.00
2014 01 01 01 54 186  1.1  5.1 99.00 99.00 99.00 999 1004.2  26.9  29.9 999.0 99.0 99.00
2014 01 01 02 00 131  2.2  3.2 99.00 99.00 99.00 999 1004.1  27.0  29.9 999.0 99.0 99.00
2014 01 01 02 06 104  1.7  4.3 99.00 99.00 99.00 999 1004.1  27.1  29.9 999.0 99.0 99.00
2014 01 01 02 12 144  3.9  6.1 99.00 99.00 99.00 999 1004.1  26.8  29.9 999.0 99.0 99.00
2014 01 01 02 18 227  4.7  7.8 99.00 99.00 99.00 999 1004.0  26.7  29.9 999.0 99.0 99.00
2014 01 01 02 24 242  4.1  8.6 99.00 99.00 99.00 999 1004.0  26.5  29.9 999.0 99.0 99.00
2014 01 01 02 30 252  5.2  8.5 99.00 99.00 99.00 999 1004.0  26.6  29.9 999.0 99.0 99.00
2014 01 01 02 36 245  4.1  8.9 99.00 99.00 99.00 999 1004.0  26.5  29.9 999.0 99.0 99.00
2014 01 01 02 42 234  3.1  4.7 99.00 99.00 99.00 999 1004.0  26.6  29.9 999.0 99.0 99.00
2014 01 01 02 48  27  1.2  3.9 99.00 99.00 99.00 999 1004.0  26.6  29.9 999.0 99.0 99.00
2014 01 01 02 54  88  1.0  5.7 99.00 99.00 99.00 999 1003.9  26.5  29.9 999.0 99.0 99.00
2014 01 01 03 00 116  2.2  6.3 99.00 99.00 99.00 999 1003.8  26.9  29.9 999.0 99.0 99.00
2014 01 01 03 06 193  0.7  2.6 99.00 99.00 99.00 999 1003.9  26.4  29.8 999.0 99.0 99.00
2014 01 01 03 12 169  1.3  2.2 99.00 99.00 99.00 999 1003.8  26.2  29.9 999.0 99.0 99.00
2014 01 01 03 18 142  1.8  2.9 99.00 99.00 99.00 999 1003.8  26.0  29.8 999.0 99.0 99.00
2014 01 01 03 24 182  1.7  4.2 99.00 99.00 99.00 999 1003.9  25.9  29.8 999.0 99.0 99.00
2014 01 01 03 30 155  2.0  3.3 99.00 99.00 99.00 999 1003.8  26.0  29.8 999.0 99.0 99.00
2014 01 01 03 36 242  1.0  2.8 99.00 99.00 99.00 999 1003.9  26.1  29.8 999.0 99.0 99.00
2014 01 01 03 42 204  0.6  2.8 99.00 99.00 99.00 999 1004.0  26.3  29.8 999.0 99.0 99.00
2014 01 01 03 48 209  1.1  1.8 99.00 99.00 99.00 999 1003.9  26.4  29.9 999.0 99.0 99.00
2014 01 01 03 54 253  2.9  4.5 99.00 99.00 99.00 999 1003.9  26.8  30.0 999.0 99.0 99.00
2014 01 01 04 00 211  2.8  4.5 99.00 99.00 99.00 999 1003.7  26.5  30.0 999.0 99.0 99.00
2014 01 01 04 06 227  2.8  4.9 99.00 99.00 99.00 999 1003.6  26.7  30.0 999.0 99.0 99.00
2014 01 01 04 12 270  4.8  7.8 99.00 99.00 99.00 999 1003.8  26.7  30.0 999.0 99.0 99.00
2014 01 01 04 18 230  4.7  7.0 99.00 99.00 99.00 999 1003.7  26.8  30.0 999.0 99.0 99.00
2014 01 01 04 24 263  2.7  7.8 99.00 99.00 99.00 999 1003.8  26.9  29.9 999.0 99.0 99.00
2014 01 01 04 30 266  4.9  7.4 99.00 99.00 99.00 999 1003.8  27.2  29.8 999.0 99.0 99.00
2014 01 01 04 36 248  4.9  9.2 99.00 99.00 99.00 999 1003.5  27.4  29.9 999.0 99.0 99.00
2014 01 01 04 42 249  4.9 10.4 99.00 99.00 99.00 999 1003.6  27.5  29.9 999.0 99.0 99.00
2014 01 01 04 48 238  4.5  8.9 99.00 99.00 99.00 999 1003.6  27.5  29.9 999.0 99.0 99.00
2014 01 01 04 54 237  6.3 10.9 99.00 99.00 99.00 999 1003.7  27.5  29.9 999.0 99.0 99.00
2014 01 01 05 00 242  5.5  8.4 99.00 99.00 99.00 999 1003.7  27.5  29.9 999.0 99.0 99.00
2014 01 01 05 06 245  6.5 10.1 99.00 99.00 99.00 999 1003.7  27.5  29.9 999.0 99.0 99.00
2014 01 01 05 12 237  4.4  7.8 99.00 99.00 99.00 999 1003.7  27.5  29.9 999.0 99.0 99.00
2014 01 01 05 18 213  2.9  7.5 99.00 99.00 99.00 999 1003.6  27.5  29.9 999.0 99.0 99.00
2014 01 01 05 24 261  3.5  8.1 99.00 99.00 99.00 999 1003.9  27.6  29.9 999.0 99.0 99.00
2014 01 01 05 30 248  4.4  7.9 99.00 99.00 99.00 999 1003.9  27.6  29.9 999.0 99.0 99.00
2014 01 01 05 36 253  4.5  9.0 99.00 99.00 99.00 999 1003.9  27.7  29.9 999.0 99.0 99.00
2014 01 01 05 42 256  4.2  8.1 99.00 99.00 99.00 999 1004.0  27.5  29.9 999.0 99.0 99.00
2014 01 01 05 48 251  3.4  6.7 99.00 99.00 99.00 999 1004.1  27.5  29.9 999.0 99.0 99.00
2014 01 01 05 54 264  4.8  8.7 99.00 99.00 99.00 999 1004.4  27.6  29.9 999.0 99.0 99.00
2014 01 01 06 00 237  4.0  6.9 99.00 99.00 99.00 999 1004.4  27.5  29.9 999.0 99.0 99.00
2014 01 01 06 06 266  4.2  8.3 99.00 99.00 99.00 999 1004.7  27.6  29.9 999.0 99.0 99.00
2014 01 01 06 12 264  4.5  6.2 99.00 99.00 99.00 999 1004.8  27.7  29.8 999.0 99.0 99.00
2014 01 01 06 18 269  5.3  8.1 99.00 99.00 99.00 999 1004.8  27.7  29.8 999.0 99.0 99.00
2014 01 01 06 24 262  2.7  6.6 99.00 99.00 99.00 999 1004.9  27.8  29.7 999.0 99.0 99.00
2014 01 01 06 30 301  3.6  5.9 99.00 99.00 99.00 999 1005.1  27.8  29.7 999.0 99.0 99.00
2014 01 01 06 36 252  3.4  6.0 99.00 99.00 99.00 999 1005.1  27.8  29.7 999.0 99.0 99.00
2014 01 01 06 42 263  3.8  6.4 99.00 99.00 99.00 999 1005.2  27.9  29.7 999.0 99.0 99.00
2014 01 01 06 48 258  3.0  6.2 99.00 99.00 99.00 999 1005.2  27.9  29.8 999.0 99.0 99.00
2014 01 01 06 54 247  4.1  6.9 99.00 99.00 99.00 999 1005.2  27.9  29.8 999.0 99.0 99.00
2014 01 01 07 00 253  3.8  9.4 99.00 99.00 99.00 999 1005.3  27.8  29.7 999.0 99.0 99.00
2014 01 01 07 06 260  4.5  9.1 99.00 99.00 99.00 999 1005.4  28.0  29.7 999.0 99.0 99.00
2014 01 01 07 12 264  4.7  7.7 99.00 99.00 99.00 999 1005.4  27.9  29.7 999.0 99.0 99.00
2014 01 01 07 18 264  3.9  6.8 99.00 99.00 99.00 999 1005.4  27.9  29.7 999.0 99.0 99.00
2014 01 01 07 24 263  6.2  8.6 99.00 99.00 99.00 999 1005.4  27.9  29.7 999.0 99.0 99.00
2014 01 01 07 30 226  3.6  8.0 99.00 99.00 99.00 999 1005.4  27.9  29.7 999.0 99.0 99.00
2014 01 01 07 36 256  2.5  8.1 99.00 99.00 99.00 999 1005.4  27.9  29.7 999.0 99.0 99.00
2014 01 01 07 42 257  5.0  8.8 99.00 99.00 99.00 999 1005.4  27.9  29.7 999.0 99.0 99.00
2014 01 01 07 48 280  4.8  8.0 99.00 99.00 99.00 999 1005.4  27.8  29.7 999.0 99.0 99.00
2014 01 01 07 54 274  5.4  8.6 99.00 99.00 99.00 999 1005.5  27.8  29.7 999.0 99.0 99.00
2014 01 01 08 00 281  4.3  8.2 99.00 99.00 99.00 999 1005.4  28.0  29.7 999.0 99.0 99.00
2014 01 01 08 06 280  4.4  7.1 99.00 99.00 99.00 999 1005.4  28.0  29.7 999.0 99.0 99.00
2014 01 01 08 12 277  5.7  8.0 99.00 99.00 99.00 999 1005.6  28.0  29.7 999.0 99.0 99.00
2014 01 01 08 18 291  5.0  7.7 99.00 99.00 99.00 999 1005.5  28.0  29.7 999.0 99.0 99.00
2014 01 01 08 24 284  3.6  6.5 99.00 99.00 99.00 999 1005.6  27.8  29.6 999.0 99.0 99.00
2014 01 01 08 30 244  5.2 10.9 99.00 99.00 99.00 999 1005.5  27.9  29.6 999.0 99.0 99.00
2014 01 01 08 36 241  3.2 11.2 99.00 99.00 99.00 999 1005.7  27.2  29.6 999.0 99.0 99.00
2014 01 01 08 42 240  2.4  5.4 99.00 99.00 99.00 999 1005.7  27.4  29.6 999.0 99.0 99.00
2014 01 01 08 48 312  1.9  6.7 99.00 99.00 99.00 999 1005.8  27.6  29.6 999.0 99.0 99.00
2014 01 01 08 54 267  3.7  6.2 99.00 99.00 99.00 999 1005.8  27.6  29.6 999.0 99.0 99.00
2014 01 01 09 00 254  3.3  6.5 99.00 99.00 99.00 999 1005.9  27.7  29.6 999.0 99.0 99.00
2014 01 01 09 06 255  3.0  6.2 99.00 99.00 99.00 999 1006.1  27.8  29.6 999.0 99.0 99.00
2014 01 01 09 12 272  4.8  7.0 99.00 99.00 99.00 999 1006.2  27.9  29.6 999.0 99.0 99.00
2014 01 01 09 18 273  4.1  6.3 99.00 99.00 99.00 999 1006.3  27.9  29.6 999.0 99.0 99.00
2014 01 01 09 24 267  4.1  6.2 99.00 99.00 99.00 999 1006.4  27.9  29.6 999.0 99.0 99.00
2014 01 01 09 30 275  3.6  5.7 99.00 99.00 99.00 999 1006.5  27.9  29.6 999.0 99.0 99.00
2014 01 01 09 36 301  3.6  5.9 99.00 99.00 99.00 999 1006.6  28.0  29.6 999.0 99.0 99.00
2014 01 01 09 42 294  4.2  5.8 99.00 99.00 99.00 999 1006.6  28.0  29.6 999.0 99.0 99.00
2014 01 01 09 48 248  2.9  5.5 99.00 99.00 99.00 999 1006.6  27.9  29.6 999.0 99.0 99.00
2014 01 01 09 54 268  3.0  5.7 99.00 99.00 99.00 999 1006.6  28.0  29.6 999.0 99.0 99.00
2014 01 01 10 00 272  3.9  6.4 99.00 99.00 99.00 999 1006.6  28.1  29.6 999.0 99.0 99.00
2014 01 01 10 06 272  3.6  6.9 99.00 99.00 99.00 999 1006.5  28.1  29.6 999.0 99.0 99.00
2014 01 01 10 12 273  4.1  8.3 99.00 99.00 99.00 999 1006.3  28.2  29.6 999.0 99.0 99.00
2014 01 01 10 18 266  4.4  6.7 99.00 99.00 99.00 999 1006.3  28.1  29.6 999.0 99.0 99.00
2014 01 01 10 24 227  5.1 12.1 99.00 99.00 99.00 999 1006.2  26.8  29.6 999.0 99.0 99.00
2014 01 01 10 30 294  2.0  8.0 99.00 99.00 99.00 999 1006.4  26.5  29.6 999.0 99.0 99.00
2014 01 01 10 36 236  6.7 11.0 99.00 99.00 99.00 999 1006.1  26.6  29.6 999.0 99.0 99.00
2014 01 01 10 42 243  8.4 12.5 99.00 99.00 99.00 999 1006.3  26.6  29.6 999.0 99.0 99.00
2014 01 01 10 48 234  6.5 10.0 99.00 99.00 99.00 999 1006.2  26.8  29.6 999.0 99.0 99.00
2014 01 01 10 54 235  5.1 11.6 99.00 99.00 99.00 999 1006.1  26.8  29.6 999.0 99.0 99.00
2014 01 01 11 00 181  6.0 13.8 99.00 99.00 99.00 999 1006.2  26.2  29.6 999.0 99.0 99.00
2014 01 01 11 06 222  6.8 10.4 99.00 99.00 99.00 999 1006.1  26.0  29.5 999.0 99.0 99.00
2014 01 01 11 12 226  3.8  7.7 99.00 99.00 99.00 999 1006.2  26.0  29.5 999.0 99.0 99.00
