,TimeSST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
2012-01-03 00:15:00,12:15 AM,27.0,23.0,79.0,1012.4,12.9,NNE,13.0,25.9,N/A,,Overcast,30,2012-01-03 11:15:00<br />
2012-01-04 00:15:00,12:15 AM,28.0,23.0,74.0,1012.4,16.1,North,13.0,29.6,N/A,,Mostly Cloudy,360,2012-01-04 11:15:00<br />
2012-01-05 00:15:00,12:15 AM,27.0,23.0,79.0,1011.4,16.1,North,14.8,-,N/A,,Partly Cloudy,10,2012-01-05 11:15:00<br />
2012-01-07 00:15:00,12:15 AM,27.0,23.0,79.0,1008.4,8.0,NW,16.7,33.3,N/A,,Mostly Cloudy,310,2012-01-07 11:15:00<br />
2012-01-07 00:35:00,12:35 AM,27.0,23.0,79.0,1008.4,16.1,WNW,9.3,-,N/A,,Overcast,290,2012-01-07 11:35:00<br />
2012-01-07 00:55:00,12:55 AM,27.0,23.0,79.0,1008.0,16.1,West,9.3,-,N/A,,Overcast,280,2012-01-07 11:55:00<br />
2012-01-07 01:15:00,1:15 AM,27.0,23.0,79.0,1007.7,16.1,West,7.4,-,N/A,,Mostly Cloudy,280,2012-01-07 12:15:00<br />
2012-01-07 01:35:00,1:35 AM,26.0,23.0,83.0,1007.3,16.1,West,7.4,-,N/A,,Partly Cloudy,270,2012-01-07 12:35:00<br />
2012-01-07 01:55:00,1:55 AM,27.0,23.0,79.0,1007.0,16.1,West,11.1,-,N/A,,Clear,270,2012-01-07 12:55:00<br />
2012-01-07 02:15:00,2:15 AM,27.0,23.0,79.0,1006.7,16.1,WNW,7.4,-,N/A,,Partly Cloudy,290,2012-01-07 13:15:00<br />
2012-01-07 02:35:00,2:35 AM,27.0,23.0,79.0,1006.7,16.1,West,11.1,-,N/A,,Partly Cloudy,280,2012-01-07 13:35:00<br />
2012-01-07 02:55:00,2:55 AM,27.0,23.0,79.0,1006.3,16.1,WNW,13.0,-,N/A,,Mostly Cloudy,300,2012-01-07 13:55:00<br />
2012-01-07 03:15:00,3:15 AM,27.0,23.0,79.0,1006.3,16.1,NW,9.3,-,N/A,,Mostly Cloudy,320,2012-01-07 14:15:00<br />
2012-01-07 03:35:00,3:35 AM,27.0,23.0,79.0,1006.3,16.1,WNW,14.8,29.6,N/A,,Mostly Cloudy,300,2012-01-07 14:35:00<br />
