,TimeSST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
2013-08-06 01:50:00,1:50 AM,78.1,75.0,90,29.90,8.0,ESE,19.6,-,N/A,Rain,Light Rain Showers,120,2013-08-06 12:50:00<br />
2013-12-22 20:54:00,8:54 PM,81.7,75.6,82,29.78,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-12-23 07:54:00<br />
2014-01-05 19:52:00,7:52 PM,82.0,74.8,79,29.71,7.0,North,20.7,-,N/A,Rain,Light Rain Showers,10,2014-01-06 06:52:00<br />
2014-02-11 15:51:00,3:51 PM,88.5,76.6,68,29.72,12.0,East,6.9,-,N/A,,Mostly Cloudy,100,2014-02-12 02:51:00<br />
2013-08-19 16:55:00,4:55 PM,79.7,75.9,88,29.82,12.0,East,11.5,-,N/A,,Mostly Cloudy,80,2013-08-20 03:55:00<br />
2014-02-11 09:50:00,9:50 AM,87.1,77.2,72,29.81,12.0,East,6.9,-,N/A,,Scattered Clouds,100,2014-02-11 20:50:00<br />
2013-10-22 19:57:00,7:57 PM,80.8,73.4,78,29.89,10.0,ESE,17.3,-,N/A,,Overcast,120,2013-10-23 06:57:00<br />
2013-11-13 07:00:00,7:00 AM,77,74,90,29.83,5,ENE,12.7,,,Rain,Light Rain Showers,60,2013-11-13 18:00:00<br />
2013-10-23 09:56:00,9:56 AM,84.6,73.8,70,29.91,12.0,ESE,15.0,-,N/A,,Overcast,120,2013-10-23 20:56:00<br />
2013-08-16 00:53:00,12:53 AM,79.2,75.2,88,29.82,8.0,East,16.1,-,N/A,Rain,Light Rain Showers,100,2013-08-16 11:53:00<br />
2013-10-02 06:50:00,6:50 AM,79.9,75.9,88,29.83,12.0,NE,3.5,-,N/A,,Mostly Cloudy,50,2013-10-02 17:50:00<br />
2014-01-02 06:50:00,6:50 AM,79.5,75.9,89,29.76,7.0,ENE,18.4,-,N/A,Rain,Light Rain Showers,60,2014-01-02 17:50:00<br />
2013-08-08 19:50:00,7:50 PM,78.8,73.4,83,29.88,10.0,East,19.6,-,N/A,,Mostly Cloudy,100,2013-08-09 06:50:00<br />
2013-10-29 22:52:00,10:52 PM,77.9,74.1,88,29.89,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-10-30 09:52:00<br />
2013-08-26 05:53:00,5:53 AM,76.8,74.5,92,29.91,10.0,West,3.5,-,N/A,,Overcast,280,2013-08-26 16:53:00<br />
2014-02-13 18:51:00,6:51 PM,85.1,76.8,76,29.70,10.0,SSE,4.6,-,N/A,,Mostly Cloudy,150,2014-02-14 05:51:00<br />
2013-08-01 23:50:00,11:50 PM,75.9,73.9,94,29.86,10.0,Calm,Calm,-,N/A,,Clear,0,2013-08-02 10:50:00<br />
2013-09-03 11:50:00,11:50 AM,87.1,75.0,67,29.85,12.0,NE,8.1,-,N/A,,Scattered Clouds,40,2013-09-03 22:50:00<br />
2013-08-11 19:50:00,7:50 PM,80.2,74.3,82,29.90,10.0,East,12.7,-,N/A,,Mostly Cloudy,100,2013-08-12 06:50:00<br />
2013-10-14 01:53:00,1:53 AM,81.0,75.6,84,29.86,10.0,East,17.3,-,N/A,,Mostly Cloudy,100,2013-10-14 12:53:00<br />
2013-08-26 06:53:00,6:53 AM,76.6,74.7,94,29.96,12.0,Calm,Calm,-,N/A,,Overcast,0,2013-08-26 17:53:00<br />
2014-03-01 07:00:00,7:00 AM,82,75,73,29.74,10,NNW,11.5,,,Rain,Light Rain Showers,340,2014-03-01 18:00:00<br />
2013-11-24 01:00:00,1:00 AM,82,76,79,29.83,10,ESE,8.1,,,,Overcast,110,2013-11-24 12:00:00<br />
2013-12-20 01:00:00,1:00 AM,83,76,74,29.77,10,NE,8.1,,,,Partly Cloudy,40,2013-12-20 12:00:00<br />
2013-09-10 01:55:00,1:55 AM,80.6,75.2,84,29.96,10.0,ESE,18.4,-,N/A,,Scattered Clouds,110,2013-09-10 12:55:00<br />
2013-09-09 04:51:00,4:51 AM,78.3,74.7,89,29.93,10.0,ESE,11.5,-,N/A,,Overcast,120,2013-09-09 15:51:00<br />
2013-12-29 03:52:00,3:52 AM,81.1,76.1,85,29.69,10.0,East,8.1,-,N/A,,Overcast,100,2013-12-29 14:52:00<br />
2013-11-30 08:50:00,8:50 AM,81.7,78.4,90,29.87,11.0,East,20.7,-,N/A,,Overcast,80,2013-11-30 19:50:00<br />
2014-01-16 00:58:00,12:58 AM,82.4,77.7,86,29.80,9.0,East,12.7,-,N/A,Rain,Light Rain Showers,80,2014-01-16 11:58:00<br />
2014-01-04 05:53:00,5:53 AM,79.3,74.8,86,29.70,10.0,Variable,3.5,-,N/A,Rain,Light Rain Showers,0,2014-01-04 16:53:00<br />
2013-10-23 00:52:00,12:52 AM,80.1,72.7,78,29.89,10.0,East,15.0,-,N/A,,Overcast,100,2013-10-23 11:52:00<br />
2013-11-01 05:52:00,5:52 AM,79.3,72.7,80,29.88,12.0,East,13.8,-,N/A,,Mostly Cloudy,80,2013-11-01 16:52:00<br />
2014-03-18 22:52:00,10:52 PM,81.7,74.1,78,29.65,10.0,SSE,10.4,-,N/A,,Overcast,150,2014-03-19 09:52:00<br />
2013-10-28 00:50:00,12:50 AM,79.9,71.6,76,29.89,10.0,East,15.0,-,N/A,,Mostly Cloudy,90,2013-10-28 11:50:00<br />
