Storm#,Start,End,duration(hrs),sep from,LBJ Q %,LBJ SSC %,LBJ SSC source,LBJ SSC grab #,QUARRY SSC %,QUARRY SSC source,QUARRY SSC grab #,DAM Q %,DAM SSC %,DAM SSC source,DAM SSC grab #
0,2012-01-08 10:45:00,2012-01-09 00:00:00,13.25,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
1,2012-01-09 17:30:00,2012-01-09 23:15:00,5.75,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
2,2012-01-18 14:00:00,2012-01-19 09:30:00,19.5,LBJ PT,100.0,0.0,,2,100.0,Grab Int.,37,100.0,100.0,Turb.,1
3,2012-01-19 13:45:00,2012-01-20 01:15:00,11.5,LBJ PT,100.0,100.0,Grab Int.,3,100.0,Grab Int.,20,100.0,100.0,Turb.,1
4,2012-01-25 03:30:00,2012-01-26 00:00:00,20.5,LBJ PT,100.0,0.0,,6,0.0,,37,100.0,100.0,Turb.,5
5,2012-01-31 23:00:00,2012-02-01 14:45:00,15.75,LBJ PT,100.0,100.0,Turb.,2,0.0,,1,100.0,100.0,Turb.,0
6,2012-02-01 20:45:00,2012-02-02 05:30:00,8.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
7,2012-02-02 05:45:00,2012-02-02 20:30:00,14.75,LBJ PT,100.0,100.0,Turb.,1,0.0,,0,100.0,100.0,Turb.,0
8,2012-02-03 08:00:00,2012-02-04 02:15:00,18.25,LBJ PT,100.0,100.0,Turb.,10,0.0,,30,100.0,100.0,Turb.,1
9,2012-02-04 19:00:00,2012-02-04 23:00:00,4.0,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
10,2012-02-05 06:00:00,2012-02-05 19:45:00,13.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
11,2012-02-05 23:15:00,2012-02-06 09:30:00,10.25,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
12,2012-02-06 10:45:00,2012-02-07 00:15:00,13.5,LBJ PT,100.0,100.0,Turb.,10,0.0,,4,100.0,100.0,Turb.,1
13,2012-02-07 00:30:00,2012-02-07 03:00:00,2.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
14,2012-02-07 06:45:00,2012-02-07 12:30:00,5.75,LBJ PT,100.0,100.0,Turb.,2,0.0,,0,100.0,100.0,Turb.,0
15,2012-02-13 22:00:00,2012-02-14 02:30:00,4.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
16,2012-02-23 19:30:00,2012-02-24 14:00:00,18.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
17,2012-03-05 14:45:00,2012-03-05 22:00:00,7.25,LBJ PT,100.0,100.0,Turb.,8,100.0,Grab Int.,4,100.0,100.0,Turb.,3
18,2012-03-06 12:15:00,2012-03-07 09:30:00,21.25,LBJ PT,0.0,100.0,Turb.,0,0.0,,0,0.0,100.0,Turb.,0
19,2012-03-08 16:30:00,2012-03-09 01:45:00,9.25,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
20,2012-03-09 05:45:00,2012-03-09 21:00:00,15.25,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
21,2012-03-15 20:15:00,2012-03-16 06:45:00,10.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
22,2012-03-16 08:15:00,2012-03-17 02:30:00,18.25,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
23,2012-03-17 11:00:00,2012-03-18 07:30:00,20.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
24,2012-03-20 03:00:00,2012-03-20 12:45:00,9.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
25,2012-03-21 18:45:00,2012-03-22 17:30:00,22.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
26,2012-03-22 22:00:00,2012-03-23 17:30:00,19.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
27,2012-03-23 22:00:00,2012-03-24 09:15:00,11.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
28,2012-03-24 17:00:00,2012-03-25 01:45:00,8.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
29,2012-03-25 03:45:00,2012-03-26 11:45:00,32.0,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
30,2012-03-31 14:15:00,2012-03-31 22:45:00,8.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
31,2012-04-03 01:15:00,2012-04-03 07:00:00,5.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
32,2012-05-02 15:00:00,2012-05-03 00:00:00,9.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
33,2012-05-07 12:30:00,2012-05-07 21:00:00,8.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
34,2012-05-08 04:45:00,2012-05-08 16:30:00,11.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
35,2012-05-10 19:00:00,2012-05-11 09:30:00,14.5,LBJ PT,0.0,100.0,Turb.,0,0.0,,0,0.0,100.0,Turb.,0
36,2012-05-20 02:30:00,2012-05-20 07:30:00,5.0,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
37,2012-05-22 10:30:00,2012-05-23 06:00:00,19.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
38,2012-05-23 08:00:00,2012-05-24 15:00:00,31.0,LBJ PT,100.0,0.0,,1,0.0,,0,100.0,100.0,Turb.,0
39,2012-05-24 19:00:00,2012-05-25 17:45:00,22.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
40,2012-05-25 19:15:00,2012-05-25 20:45:00,1.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
41,2012-05-26 01:45:00,2012-05-27 06:00:00,28.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
42,2012-06-02 13:30:00,2012-06-03 00:00:00,10.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
43,2012-06-03 07:45:00,2012-06-03 21:15:00,13.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
44,2012-06-04 00:15:00,2012-06-04 15:15:00,15.0,LBJ PT,0.0,0.0,,0,0.0,,0,0.0,100.0,Turb.,0
45,2012-06-04 15:45:00,2012-06-05 05:45:00,14.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
46,2012-06-05 09:15:00,2012-06-05 21:30:00,12.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
47,2012-06-06 21:30:00,2012-06-07 03:30:00,6.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
48,2012-06-07 08:00:00,2012-06-07 23:45:00,15.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
49,2012-07-08 01:00:00,2012-07-08 09:30:00,8.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
50,2012-07-08 10:15:00,2012-07-08 23:30:00,13.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
51,2012-07-26 22:00:00,2012-07-27 10:30:00,12.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
52,2012-07-27 18:45:00,2012-07-28 06:15:00,11.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
53,2012-08-07 09:00:00,2012-08-07 13:15:00,4.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
54,2012-08-08 20:45:00,2012-08-09 12:30:00,15.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
55,2012-08-24 08:45:00,2012-08-25 01:00:00,16.25,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
56,2012-09-01 07:45:00,2012-09-03 06:30:00,46.75,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
57,2012-09-16 05:30:00,2012-09-16 14:00:00,8.5,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
58,2012-09-21 21:30:00,2012-09-22 06:00:00,8.5,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
59,2012-09-29 02:15:00,2012-09-29 12:15:00,10.0,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
60,2012-10-08 04:30:00,2012-10-08 17:15:00,12.75,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
61,2012-10-09 05:00:00,2012-10-09 18:30:00,13.5,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
62,2013-02-11 14:30:00,2013-02-12 20:00:00,29.5,LBJ PT,0.0,0.0,,0,0.0,,0,0.0,0.0,,0
63,2013-02-16 06:15:00,2013-02-16 12:15:00,6.0,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
64,2013-02-19 19:00:00,2013-02-20 06:45:00,11.75,LBJ PT,100.0,0.0,,0,0.0,,0,0.0,0.0,,0
65,2013-02-27 11:00:00,2013-02-27 14:30:00,3.5,LBJ PT,100.0,0.0,,2,0.0,,0,100.0,0.0,,0
66,2013-03-03 18:45:00,2013-03-03 23:30:00,4.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
67,2013-03-05 05:15:00,2013-03-05 08:15:00,3.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
68,2013-03-05 18:15:00,2013-03-06 06:45:00,12.5,LBJ PT,100.0,0.0,,2,0.0,,1,100.0,0.0,,0
69,2013-03-06 08:15:00,2013-03-07 08:15:00,24.0,LBJ PT,100.0,0.0,,8,0.0,,7,100.0,0.0,,5
70,2013-03-07 10:15:00,2013-03-07 13:15:00,3.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
71,2013-03-07 14:30:00,2013-03-09 04:15:00,37.75,LBJ PT,100.0,100.0,Grab Int.,3,0.0,,2,0.0,0.0,,3
72,2013-03-10 15:45:00,2013-03-10 19:00:00,3.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
73,2013-03-11 01:00:00,2013-03-12 00:45:00,23.75,LBJ PT,100.0,100.0,Turb.,2,0.0,,0,100.0,0.0,,0
74,2013-03-21 12:30:00,2013-03-21 21:00:00,8.5,LBJ PT,100.0,100.0,Turb.,2,0.0,,1,100.0,0.0,,1
75,2013-03-23 11:00:00,2013-03-23 20:00:00,9.0,LBJ PT,100.0,100.0,Turb.,3,100.0,Grab Int.,3,100.0,0.0,,2
76,2013-03-26 16:00:00,2013-03-26 19:15:00,3.25,LBJ PT,100.0,100.0,Turb.,4,100.0,Grab Int.,3,100.0,0.0,,2
77,2013-04-11 21:15:00,2013-04-11 23:30:00,2.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
78,2013-04-16 09:15:00,2013-04-16 23:45:00,14.5,LBJ PT,100.0,100.0,Grab Int.,5,100.0,Grab Int.,5,100.0,100.0,Grab Int.,4
79,2013-04-17 00:15:00,2013-04-17 22:45:00,22.5,LBJ PT,100.0,0.0,,2,0.0,,1,100.0,0.0,,1
80,2013-04-18 00:45:00,2013-04-18 08:15:00,7.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
81,2013-04-18 15:15:00,2013-04-18 18:45:00,3.5,LBJ PT,100.0,0.0,,2,0.0,,1,100.0,0.0,,1
82,2013-04-18 19:30:00,2013-04-19 02:15:00,6.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
83,2013-04-20 03:15:00,2013-04-21 01:15:00,22.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
84,2013-04-23 11:00:00,2013-04-24 16:30:00,29.5,LBJ PT,100.0,100.0,Grab Int.,8,100.0,Grab Int.,6,100.0,100.0,Grab Int.,4
85,2013-04-28 10:15:00,2013-04-28 17:45:00,7.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
86,2013-04-28 20:30:00,2013-04-29 08:45:00,12.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
87,2013-04-30 14:45:00,2013-05-01 23:15:00,32.5,LBJ PT,100.0,100.0,Grab Int.,6,0.0,,4,100.0,0.0,,4
88,2013-05-11 14:30:00,2013-05-12 00:00:00,9.5,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
89,2013-05-30 02:45:00,2013-05-30 08:30:00,5.75,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,0.0,,0
90,2013-06-05 01:00:00,2013-06-06 12:45:00,35.75,LBJ PT,100.0,100.0,Grab Int.,5,100.0,Grab Int.,5,100.0,0.0,,3
91,2013-06-09 08:45:00,2013-06-09 16:15:00,7.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,0.0,,0
92,2013-06-16 03:00:00,2013-06-16 15:45:00,12.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
93,2013-06-24 01:00:00,2013-06-24 17:30:00,16.5,LBJ PT,100.0,100.0,Turb.,1,0.0,,2,100.0,100.0,Turb.,0
94,2013-06-25 07:45:00,2013-06-25 23:30:00,15.75,LBJ PT,0.0,100.0,Turb.,2,0.0,,1,100.0,100.0,Turb.,0
95,2013-07-02 06:30:00,2013-07-02 16:45:00,10.25,LBJ PT,100.0,100.0,Turb.,0,0.0,,0,100.0,100.0,Turb.,0
96,2013-07-13 10:45:00,2013-07-14 03:30:00,16.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
97,2013-07-15 21:15:00,2013-07-16 06:30:00,9.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
98,2013-07-16 23:15:00,2013-07-17 13:30:00,14.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
99,2013-07-17 21:45:00,2013-07-18 19:15:00,21.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
100,2013-07-19 00:15:00,2013-07-20 02:45:00,26.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
101,2013-07-20 03:45:00,2013-07-21 03:15:00,23.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
102,2013-07-24 08:15:00,2013-07-24 16:30:00,8.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
103,2013-07-27 22:00:00,2013-07-28 12:00:00,14.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
104,2013-08-03 14:30:00,2013-08-04 00:00:00,9.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
105,2013-08-05 19:00:00,2013-08-06 18:00:00,23.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
106,2013-08-09 20:30:00,2013-08-11 08:15:00,35.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
107,2013-08-15 19:00:00,2013-08-16 01:45:00,6.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
108,2013-08-16 06:15:00,2013-08-17 04:00:00,21.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
109,2013-08-17 04:15:00,2013-08-17 06:00:00,1.75,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
110,2013-08-17 11:00:00,2013-08-18 16:15:00,29.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
111,2013-08-18 23:45:00,2013-08-19 03:45:00,4.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
112,2013-08-19 07:00:00,2013-08-19 23:30:00,16.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
113,2013-08-21 03:30:00,2013-08-21 09:00:00,5.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
114,2013-08-26 03:30:00,2013-08-26 12:30:00,9.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
115,2013-09-01 04:30:00,2013-09-01 17:45:00,13.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
116,2013-09-01 20:30:00,2013-09-02 06:00:00,9.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
117,2013-09-07 07:30:00,2013-09-07 19:30:00,12.0,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
118,2013-09-08 17:30:00,2013-09-09 04:45:00,11.25,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
119,2013-09-18 19:30:00,2013-09-19 07:00:00,11.5,LBJ PT,100.0,0.0,,0,0.0,,0,100.0,100.0,Turb.,0
