,FPdaily
2012-01-07,11.14
2012-01-08,25.9
2012-01-09,18.550000000000004
2012-01-10,0.0
2012-01-11,0.0
2012-01-12,0.0
2012-01-13,0.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,0.0
2012-01-17,0.75
2012-01-18,24.91
2012-01-19,75.91
2012-01-20,4.3100000000000005
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,1.52
2012-01-25,86.34000000000002
2012-01-26,8.379999999999999
2012-01-27,22.849999999999998
2012-01-28,0.0
2012-01-29,24.37
2012-01-30,0.25
2012-01-31,17.78
2012-02-01,38.849999999999994
2012-02-02,22.050000000000004
2012-02-03,18.270000000000003
2012-02-04,13.689999999999998
2012-02-05,50.730000000000004
2012-02-06,68.30999999999999
2012-02-07,27.670000000000005
2012-02-08,0.5
2012-02-09,0.0
2012-02-10,0.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,17.26
2012-02-14,2.02
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,1.52
2012-02-18,0.51
2012-02-19,3.05
2012-02-20,4.05
2012-02-21,6.090000000000001
2012-02-22,3.81
2012-02-23,22.060000000000002
2012-02-24,0.5
2012-02-25,0.0
2012-02-26,2.79
2012-02-27,0.25
2012-02-28,1.78
2012-02-29,1.27
2012-03-07,0.25
2012-03-08,26.66
2012-03-09,15.739999999999998
2012-03-10,0.0
2012-03-11,0.0
2012-03-12,0.25
2012-03-13,0.0
2012-03-14,1.52
2012-03-15,19.8
2012-03-16,49.25000000000001
2012-03-17,36.82
2012-03-18,1.25
2012-03-19,0.76
2012-03-20,24.350000000000005
2012-03-21,15.469999999999999
2012-03-22,28.19
2012-03-23,13.7
2012-03-24,24.090000000000007
2012-03-25,40.62
2012-03-26,5.34
2012-07-20,0.0
2012-07-21,0.0
2012-07-22,0.0
2012-07-23,2.79
2012-07-24,0.0
2012-07-25,3.56
2012-07-26,3.54
2012-07-27,29.680000000000007
2012-07-28,0.25
2012-07-29,0.5
2012-07-30,0.0
2012-07-31,0.0
2012-08-01,0.0
