Location	Date	Time 
N1	3/11/2013	1315
Field Measurements		
Dist(S to N)(ft)	Depth(cm)	Flow(m/s)
0	0	0
1	0	0
2	28	0
3	29	0.15
4	30	0.22
5	32	0.31
6	31	0.37
7	31	0.23
8	30	0.25
9	26	0.2
10	32	0.27
11	30	0.15
12	18	0.04
13	16	0.04
14	6	0
15	0	0
-
Location	Date	Time 
N1	3/11/2013	1330
Field Measurements		
Dist(S to N)(ft)	Depth(cm)	Flow(m/s)
0	0	0
1	0	0
2	27	0
3	29	0.15
4	30	0.27
5	30	0.32
6	32	0.37
7	37	0.27
8	30	0.32
9	27	0.28
10	26	0.39
11	30	0.14
12	19	0.03
13	18	0.02
14	6	0
15	0	0
-
Location	Date	Time 
N1	12/17/2014	1600
Field Measurements		
Dist(S to N)(ft)	Depth(cm)	Flow(m/s)
6	0	0.00
9	6	0.12
9.5	7	0.13
10	8	0.15
10.5	8	0.15
11	8	0.17
11.5	9	0.22
12	10	0.23
12.5	9	0.17
13	8	0.18
13.5	7	0.19
14	6	0.21
14.5	7	0.23
15	7	0.32
15.5	6	0.32
16	6	0.26
16.5	6	0.16
17	5	0.15
17.5	4	0.10
18	0	0.00
18.5	0	0.00
11		
11.5		
12		
12.5		
13		
13.5		
14		
14.5		
15		
-
Location	Date	Time 
N1	12/17/2014	1615
Field Measurements		
Dist(S to N)(ft)	Depth(cm)	Flow(m/s)
1.1	0	0.00
1.5	10	0.15
1.8	14	0.22
2	14	0.22
2.5	11	0.21
3	13	0.09
3.5	13	0.10
4	16	0.22
4.5	14	0.13
5	18	0.20
5.5	18	0.19
6	19	0.15
6.5	18	0.16
7	12	0.06
7.5	6	0.07
8	8	0.02
8.5	8	0.02
9	6	0.01
9.5	4	0.00
10	0	0.00
10.5		
11		
11.5		
12		
12.5		
13		
13.5		
14		
14.5		
15		
-

