Location	Date	Time 
N2	11/25/2014	1345
Field Measurements		
Dist(S to N)(ft)	Depth(cm)	Flow(m/s)
0.5	46	0.00
1	46	0.00
1.5	44	0.00
2	48	0.00
2.5	52	0.01
3	54	0.03
3.5	54	0.04
4	56	0.08
4.5	57	0.15
5	52	0.20
5.5	48	0.12
6	55	0.18
6.5	54	0.20
7	54	0.15
7.5	54	0.22
8	50	0.19
8.5	26	0.11
9	25	0.19
9.5	54	0.18
10	54	0.11
10.5	52	0.14
11	52	0.16
11.5	52	0.11
12	57	0.04
12.5	55	0.01
13	0	0.00
13.5		
14		
14.5		
15		
-
Location	Date	Time 
N2	12/16/2014	1440
Field Measurements		
Dist(S to N)(ft)	Depth(cm)	Flow(m/s)
1	0	0.00
1	42	0.00
1.5	46	0.00
2	46	0.00
2.5	48	0.00
3	50	0.00
3.5	48	0.00
4	38	0.00
4.5	40	0.00
5	30	0.00
5.5	40	0.01
6	42	0.02
6.5	44	0.02
7	42	0.02
7.5	43	0.02
8	44	0.04
8.5	44	0.05
9	46	0.04
9.5	44	0.07
10	42	0.09
10.5	40	0.13
11	38	0.12
11.5	34	0.12
12	0.11	0.11
12.5	0.06	0.06
13	0.01	0.01
13.5	0.01	0.01
14	0	0.00
14.5		
15		
-
