,Man_n,Q(m3/s),area(m2),r,stage(m),vel(m/s),wp(m)
2012-01-12 23:45:00,0.07936203463191623,0.026,0.11127486000000025,0.03571819445963148,0.04,0.23670503654133815,3.1153551203648475
2012-01-12 03:00:00,0.07642490681192927,0.041,0.14175486000000026,0.04521173983746532,0.05,0.28762492786716914,3.1353551203648475
2012-01-18 14:30:00,0.07415551631498636,0.058,0.17223486000000024,0.05458493685493158,0.06,0.3360978279194062,3.1553551203648476
2012-01-18 14:45:00,0.07232029477893433,0.078,0.20271486000000027,0.06384005955740421,0.07,0.38255683172757676,3.1753551203648476
2012-01-18 21:00:00,0.0707885698351646,0.1,0.23319486000000025,0.07297932505648196,0.08,0.4272978596992989,3.1953551203648476
2012-01-18 20:30:00,0.06948015017595388,0.124,0.26367486000000023,0.08200489530067241,0.09,0.4705362256633621,3.215355120364847
2012-01-18 20:00:00,0.06834243708053825,0.151,0.29415486000000024,0.09091887878040068,0.1,0.5124358986913811,3.2353551203648476
2012-01-19 10:15:00,0.06733914966347522,0.18,0.32463486000000025,0.0997233321701678,0.11,0.5531261451460964,3.2553551203648476
2012-01-19 00:45:00,0.06644425567215269,0.21,0.35511486000000025,0.10842026191054464,0.12,0.5927116834105891,3.2753551203648477
2012-01-19 07:15:00,0.06563847326047534,0.243,0.38559486000000026,0.11701162573255804,0.13,0.6312792272101141,3.2953551203648472
2012-01-19 01:15:00,0.06490714184119122,0.278,0.41607486000000027,0.12549933412690106,0.14,0.6689018896154154,3.3153551203648477
2012-01-19 05:30:00,0.06423886731562879,0.315,0.4465548600000002,0.1338852517602841,0.15,0.7056422548341653,3.3353551203648473
2012-01-19 01:30:00,0.06362462753275135,0.354,0.4770348600000003,0.14217119884113175,0.16,0.741554585574121,3.3553551203648473
2012-01-19 04:30:00,0.0630571628369094,0.394,0.5075148600000003,0.1503589524367268,0.17,0.7766864498331829,3.3753551203648473
2012-01-19 04:15:00,0.06253054953811543,0.436,0.5379948600000002,0.158450247743803,0.18,0.8110799461481862,3.3953551203648473
2012-01-19 04:00:00,0.062039894360983616,0.48,0.5684748600000002,0.16644677931449559,0.19,0.8447726440096712,3.4153551203648473
2012-01-19 03:45:00,0.06158111104200515,0.526,0.5989548600000003,0.1743502022394672,0.2,0.8777983177243163,3.4353551203648474
2012-01-19 03:15:00,0.06115075401505831,0.573,0.6294348600000002,0.1821621332899464,0.21,0.9101875275585956,3.4553551203648474
2012-01-19 03:00:00,0.06074589259209471,0.622,0.6599148600000002,0.18988415202033265,0.22,0.9419680860074382,3.4753551203648474
2012-01-19 01:45:00,0.06036401439934876,0.672,0.6903948600000003,0.19751780183294693,0.23,0.9731654363160993,3.4953551203648474
2012-01-25 04:30:00,0.06000295029918596,0.724,0.7208748600000001,0.2050645910064366,0.24,1.003802963044956,3.5153551203648474
2012-01-19 02:30:00,0.0596608153271292,0.777,0.7513548600000002,0.21252599368927347,0.25,1.0339022493425742,3.5353551203648474
2012-01-19 02:00:00,0.059335961728250314,0.831,0.7818348600000002,0.21990345085971863,0.26,1.0634832919508443,3.5553551203648475
2013-04-16 13:45:00,0.059026941247453564,0.888,0.8123148600000003,0.22719837125356868,0.27,1.0925646823367505,3.5753551203648475
2012-01-25 05:45:00,0.05873247457735068,0.945,0.8427948600000004,0.23441213226093663,0.28,1.1211637604192999,3.5953551203648475
2012-01-25 05:30:00,0.058451426399778475,1.004,0.8732748600000002,0.24154608079326734,0.29,1.1492967459304717,3.6153551203648475
2012-02-06 19:15:00,0.058182784840571024,1.064,0.9037548600000003,0.2486015341217335,0.3,1.1769788513747792,3.6353551203648475
2012-02-06 19:00:00,0.05792564443710467,1.125,0.9342348600000003,0.255579780688108,0.31,1.204224379735798,3.6553551203648476
2012-01-25 05:15:00,0.05767919192482434,1.188,0.9647148600000002,0.2624820808891616,0.32,1.2310468094513094,3.6753551203648476
2012-02-06 18:45:00,0.05744269430326328,1.251,0.9951948600000003,0.2693096678355891,0.33,1.2574588686928994,3.6953551203648476
2012-02-06 18:15:00,0.05721548875844115,1.316,1.0256748600000003,0.27606374808642226,0.34,1.2834726006058959,3.7153551203648476
2013-04-23 18:15:00,0.056996974107128284,1.383,1.0561548600000001,0.2827455023598509,0.35,1.3090994208658433,3.7353551203648476
2012-01-25 05:00:00,0.05678660349652387,1.45,1.0866348600000002,0.289356086221329,0.36,1.3343501686695,3.755355120364847
2012-02-06 17:45:00,0.05658387814561128,1.518,1.1171148600000003,0.2958966307498096,0.37,1.3592351520876333,3.7753551203648477
2012-01-25 04:45:00,0.05638834195560469,1.588,1.1475948600000003,0.30236824318291516,0.38,1.3837641885530951,3.7953551203648472
2013-04-23 18:00:00,0.05619957684925911,1.659,1.1780748600000004,0.30877200754181583,0.39,1.407946641132909,3.8153551203648477
2012-03-25 09:30:00,0.05601719872443789,1.73,1.2085548600000002,0.31510898523655706,0.4,1.431791451131222,3.8353551203648473
2013-08-17 16:15:00,0.05584085392775116,1.803,1.2390348600000003,0.32138021565254554,0.41,1.4553071674863447,3.8553551203648473
2012-03-25 09:15:00,0.05567021617045319,1.877,1.2695148600000001,0.3275867167188748,0.42,1.478501973356047,3.8753551203648473
2013-04-23 17:30:00,0.05550498382199413,1.952,1.2999948600000002,0.33372948545914344,0.43,1.50138371022799,3.8953551203648473
2012-05-22 21:15:00,0.055344877527333906,2.028,1.3304748600000003,0.3398094985253909,0.44,1.5239598998443762,3.9153551203648473
