YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS PTDY TIDE
2014 6 30 0 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.3 999.0 27.8 999.0 999.0 -1.2 999.0
2014 6 30 0 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 0 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 0 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.2 999.0 27.8 999.0 999.0 999.0 999.0
2014 6 30 0 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.1 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 0 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 0 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.1 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 0 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1014.0 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 0 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.9 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 0 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 1 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 27.9 999.0 999.0 -1.6 999.0
2014 6 30 1 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.8 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 1 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.7 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 1 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.7 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 1 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 1 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 1 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.6 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 1 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 1 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 1 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.5 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 2 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.4 999.0 27.9 999.0 999.0 -1.5 999.0
2014 6 30 2 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.3 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 2 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.3 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 2 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.3 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 2 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.3 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 2 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.3 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 2 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.3 999.0 27.9 999.0 999.0 999.0 999.0
2014 6 30 2 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1013.3 999.0 27.9 999.0 999.0 999.0 999.0
