YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2014,9,20,0,0,999,999,999,999,999,999,999,1012.3,999,28.5,999,999,-2.4,999
2014,9,20,0,6,999,999,999,999,999,999,999,1012.3,999,28.5,999,999,999,999
2014,9,20,0,12,999,999,999,999,999,999,999,1012.2,999,28.5,999,999,999,999
2014,9,20,0,18,999,999,999,999,999,999,999,1012.1,999,28.5,999,999,999,999
2014,9,20,0,24,999,999,999,999,999,999,999,1012,999,28.5,999,999,999,999
2014,9,20,0,30,999,999,999,999,999,999,999,1012,999,28.5,999,999,999,999
2014,9,20,0,36,999,999,999,999,999,999,999,1011.9,999,28.5,999,999,999,999
2014,9,20,0,42,999,999,999,999,999,999,999,1011.8,999,28.5,999,999,999,999
2014,9,20,0,48,999,999,999,999,999,999,999,1011.8,999,28.5,999,999,999,999
2014,9,20,0,54,999,999,999,999,999,999,999,1011.7,999,28.5,999,999,999,999
2014,9,20,1,0,999,999,999,999,999,999,999,1011.7,999,28.5,999,999,-2.4,999
2014,9,20,1,6,999,999,999,999,999,999,999,1011.7,999,28.6,999,999,999,999
2014,9,20,1,12,999,999,999,999,999,999,999,1011.7,999,28.6,999,999,999,999
2014,9,20,1,18,999,999,999,999,999,999,999,1011.6,999,28.6,999,999,999,999
2014,9,20,1,24,999,999,999,999,999,999,999,1011.5,999,28.6,999,999,999,999
2014,9,20,1,30,999,999,999,999,999,999,999,1011.5,999,28.6,999,999,999,999
2014,9,20,1,36,999,999,999,999,999,999,999,1011.4,999,28.6,999,999,999,999
2014,9,20,1,42,999,999,999,999,999,999,999,1011.4,999,28.6,999,999,999,999
2014,9,20,1,48,999,999,999,999,999,999,999,1011.4,999,28.6,999,999,999,999
2014,9,20,1,54,999,999,999,999,999,999,999,1011.3,999,28.6,999,999,999,999
2014,9,20,2,0,999,999,999,999,999,999,999,1011.4,999,28.6,999,999,-1.8,999
2014,9,20,2,6,999,999,999,999,999,999,999,1011.3,999,28.6,999,999,999,999
2014,9,20,2,12,999,999,999,999,999,999,999,1011.3,999,28.6,999,999,999,999
2014,9,20,2,18,999,999,999,999,999,999,999,1011.3,999,28.7,999,999,999,999
2014,9,20,2,24,999,999,999,999,999,999,999,1011.3,999,28.6,999,999,999,999
2014,9,20,2,30,999,999,999,999,999,999,999,1011.2,999,28.6,999,999,999,999
2014,9,20,2,36,999,999,999,999,999,999,999,1011.2,999,28.6,999,999,999,999
2014,9,20,2,42,999,999,999,999,999,999,999,1011.2,999,28.7,999,999,999,999
2014,9,20,2,48,999,999,999,999,999,999,999,1011.2,999,28.7,999,999,999,999
2014,9,20,2,54,999,999,999,999,999,999,999,1011.2,999,28.7,999,999,999,999
2014,9,20,3,0,999,999,999,999,999,999,999,1011.2,999,28.7,999,999,-1.1,999
2014,9,20,3,6,999,999,999,999,999,999,999,1011.2,999,28.7,999,999,999,999
2014,9,20,3,12,999,999,999,999,999,999,999,1011.1,999,28.6,999,999,999,999
2014,9,20,3,18,999,999,999,999,999,999,999,1011.1,999,28.7,999,999,999,999
2014,9,20,3,24,999,999,999,999,999,999,999,1011.2,999,28.7,999,999,999,999
2014,9,20,3,30,999,999,999,999,999,999,999,1011.2,999,28.7,999,999,999,999
2014,9,20,3,36,999,999,999,999,999,999,999,1011.2,999,28.6,999,999,999,999
2014,9,20,3,42,999,999,999,999,999,999,999,1011.3,999,28.6,999,999,999,999
2014,9,20,3,48,999,999,999,999,999,999,999,1011.3,999,28.5,999,999,999,999
2014,9,20,3,54,999,999,999,999,999,999,999,1011.3,999,999,999,999,999,999
2014,9,20,4,0,999,999,999,999,999,999,999,1011.3,999,999,999,999,-0.4,999
2014,9,20,4,6,999,999,999,999,999,999,999,1011.4,999,999,999,999,999,999
2014,9,20,4,12,999,999,999,999,999,999,999,1011.4,999,999,999,999,999,999
2014,9,20,4,18,999,999,999,999,999,999,999,1011.4,999,28.4,999,999,999,999
2014,9,20,4,24,999,999,999,999,999,999,999,1011.4,999,28.4,999,999,999,999
2014,9,20,4,30,999,999,999,999,999,999,999,1011.5,999,28.4,999,999,999,999
2014,9,20,4,36,999,999,999,999,999,999,999,1011.5,999,999,999,999,999,999
2014,9,20,4,42,999,999,999,999,999,999,999,1011.6,999,999,999,999,999,999
2014,9,20,4,48,999,999,999,999,999,999,999,1011.6,999,999,999,999,999,999
2014,9,20,4,54,999,999,999,999,999,999,999,1011.7,999,999,999,999,999,999
2014,9,20,5,0,999,999,999,999,999,999,999,1011.7,999,999,999,999,0.3,999
2014,9,20,5,6,999,999,999,999,999,999,999,999,999,28.5,999,999,999,999
2014,9,20,5,12,999,999,999,999,999,999,999,999,999,28.6,999,999,999,999
2014,9,20,5,18,999,999,999,999,999,999,999,999,999,28.7,999,999,999,999
2014,9,20,5,24,999,999,999,999,999,999,999,1012,999,28.6,999,999,999,999
