YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS PTDY TIDE
2014 11 12 0 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.7 29.5 28.7 999.0 999.0 -1.3 999.0
2014 11 12 0 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.6 29.6 28.7 999.0 999.0 999.0 999.0
2014 11 12 0 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.6 29.7 28.7 999.0 999.0 999.0 999.0
2014 11 12 0 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.5 30.2 28.7 999.0 999.0 999.0 999.0
2014 11 12 0 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.4 30.1 28.8 999.0 999.0 999.0 999.0
2014 11 12 0 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.4 30.0 28.9 999.0 999.0 999.0 999.0
2014 11 12 0 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.3 29.8 28.8 999.0 999.0 999.0 999.0
2014 11 12 0 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.3 30.9 28.8 999.0 999.0 999.0 999.0
2014 11 12 0 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.3 30.8 28.8 999.0 999.0 999.0 999.0
2014 11 12 0 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.2 30.1 28.8 999.0 999.0 999.0 999.0
2014 11 12 1 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.2 30.6 28.8 999.0 999.0 -1.5 999.0
2014 11 12 1 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.2 30.2 28.8 999.0 999.0 999.0 999.0
2014 11 12 1 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.1 29.7 28.8 999.0 999.0 999.0 999.0
2014 11 12 1 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 30.3 28.8 999.0 999.0 999.0 999.0
2014 11 12 1 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 29.9 28.8 999.0 999.0 999.0 999.0
2014 11 12 1 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 30.5 28.8 999.0 999.0 999.0 999.0
2014 11 12 1 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 29.6 28.9 999.0 999.0 999.0 999.0
2014 11 12 1 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.8 29.9 28.9 999.0 999.0 999.0 999.0
2014 11 12 1 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.8 29.5 29.0 999.0 999.0 999.0 999.0
2014 11 12 1 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.7 30.1 28.9 999.0 999.0 999.0 999.0
2014 11 12 2 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.8 30.1 29.0 999.0 999.0 -1.4 999.0
2014 11 12 2 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 30.0 28.9 999.0 999.0 999.0 999.0
2014 11 12 2 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.8 30.2 28.9 999.0 999.0 999.0 999.0
2014 11 12 2 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 30.2 28.9 999.0 999.0 999.0 999.0
2014 11 12 2 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 30.6 29.0 999.0 999.0 999.0 999.0
2014 11 12 2 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 30.9 28.9 999.0 999.0 999.0 999.0
2014 11 12 2 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 30.3 28.9 999.0 999.0 999.0 999.0
2014 11 12 2 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 30.2 28.9 999.0 999.0 999.0 999.0
2014 11 12 2 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 30.2 29.0 999.0 999.0 999.0 999.0
2014 11 12 2 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 28.9 28.9 999.0 999.0 999.0 999.0
2014 11 12 3 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 29.2 28.9 999.0 999.0 -0.7 999.0
2014 11 12 3 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 30.0 28.9 999.0 999.0 999.0 999.0
2014 11 12 3 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 30.0 29.0 999.0 999.0 999.0 999.0
2014 11 12 3 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 29.6 28.9 999.0 999.0 999.0 999.0
2014 11 12 3 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 29.1 28.9 999.0 999.0 999.0 999.0
2014 11 12 3 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 29.0 29.0 999.0 999.0 999.0 999.0
2014 11 12 3 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.1 28.8 29.0 999.0 999.0 999.0 999.0
2014 11 12 3 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 28.8 29.0 999.0 999.0 999.0 999.0
2014 11 12 3 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1008.9 28.6 28.9 999.0 999.0 999.0 999.0
2014 11 12 3 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 28.8 28.9 999.0 999.0 999.0 999.0
2014 11 12 4 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 28.2 29.0 999.0 999.0 -0.0 999.0
2014 11 12 4 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.0 27.9 28.9 999.0 999.0 999.0 999.0
2014 11 12 4 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.1 28.1 29.0 999.0 999.0 999.0 999.0
2014 11 12 4 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.2 28.1 28.9 999.0 999.0 999.0 999.0
2014 11 12 4 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.3 28.3 29.1 999.0 999.0 999.0 999.0
2014 11 12 4 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.3 27.7 28.9 999.0 999.0 999.0 999.0
2014 11 12 4 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.4 27.6 28.9 999.0 999.0 999.0 999.0
2014 11 12 4 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.4 27.5 28.9 999.0 999.0 999.0 999.0
2014 11 12 4 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.4 27.5 28.9 999.0 999.0 999.0 999.0
2014 11 12 5 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.5 27.9 28.9 999.0 999.0 0.7 999.0
2014 11 12 5 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.5 27.5 28.9 999.0 999.0 999.0 999.0
2014 11 12 5 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.6 27.6 28.9 999.0 999.0 999.0 999.0
2014 11 12 5 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.7 27.4 28.8 999.0 999.0 999.0 999.0
2014 11 12 5 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.7 27.2 28.8 999.0 999.0 999.0 999.0
2014 11 12 5 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.8 27.0 28.8 999.0 999.0 999.0 999.0
2014 11 12 5 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1009.9 26.9 28.8 999.0 999.0 999.0 999.0
2014 11 12 5 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.0 26.8 28.8 999.0 999.0 999.0 999.0
2014 11 12 5 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.1 26.8 28.9 999.0 999.0 999.0 999.0
2014 11 12 5 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.1 26.8 28.8 999.0 999.0 999.0 999.0
2014 11 12 6 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.2 26.7 28.9 999.0 999.0 1.2 999.0
2014 11 12 6 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.3 26.7 28.9 999.0 999.0 999.0 999.0
2014 11 12 6 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.3 26.8 29.0 999.0 999.0 999.0 999.0
2014 11 12 6 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.3 26.7 29.0 999.0 999.0 999.0 999.0
2014 11 12 6 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.3 26.9 29.0 999.0 999.0 999.0 999.0
2014 11 12 6 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.3 26.9 29.1 999.0 999.0 999.0 999.0
2014 11 12 6 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.4 26.7 29.2 999.0 999.0 999.0 999.0
2014 11 12 6 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.6 26.6 29.2 999.0 999.0 999.0 999.0
2014 11 12 6 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.7 26.8 29.0 999.0 999.0 999.0 999.0
2014 11 12 6 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.8 26.9 29.0 999.0 999.0 999.0 999.0
2014 11 12 7 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.8 27.0 29.1 999.0 999.0 1.8 999.0
2014 11 12 7 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.8 26.8 29.1 999.0 999.0 999.0 999.0
2014 11 12 7 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.9 26.9 29.1 999.0 999.0 999.0 999.0
2014 11 12 7 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.0 26.9 29.1 999.0 999.0 999.0 999.0
2014 11 12 7 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.0 26.3 29.0 999.0 999.0 999.0 999.0
2014 11 12 7 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.0 26.2 29.0 999.0 999.0 999.0 999.0
2014 11 12 7 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.0 26.2 29.0 999.0 999.0 999.0 999.0
2014 11 12 7 42 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.0 26.2 29.0 999.0 999.0 999.0 999.0
2014 11 12 7 48 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.1 26.4 29.0 999.0 999.0 999.0 999.0
2014 11 12 7 54 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.0 26.3 29.1 999.0 999.0 999.0 999.0
2014 11 12 8 0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.9 26.4 29.1 999.0 999.0 1.4 999.0
2014 11 12 8 6 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.9 26.5 29.0 999.0 999.0 999.0 999.0
2014 11 12 8 12 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.0 27.0 29.0 999.0 999.0 999.0 999.0
2014 11 12 8 18 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1010.9 27.0 29.0 999.0 999.0 999.0 999.0
2014 11 12 8 24 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.0 26.7 29.0 999.0 999.0 999.0 999.0
2014 11 12 8 30 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.1 26.5 28.9 999.0 999.0 999.0 999.0
2014 11 12 8 36 999.0 999.0 999.0 999.0 999.0 999.0 999.0 1011.3 26.5 29.0 999.0 999.0 999.0 999.0
