Station,Date,TimeSST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
NSTU,1/1/2012,12:15 AM,-9999,-9999,N/A,29.80,10.0,NNW,3.5,-,N/A,Rain,Light Rain,330,2012-01-01 11:15:00
NSTU,1/1/2012,12:35 AM,-9999,-9999,N/A,29.80,10.0,North,3.5,-,N/A,,Scattered Clouds,10,2012-01-01 11:35:00
NSTU,1/1/2012,12:55 AM,-9999,-9999,N/A,29.79,10.0,North,3.5,-,N/A,,Partly Cloudy,350,2012-01-01 11:55:00
NSTU,1/1/2012,1:15 AM,-9999,-9999,N/A,29.79,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2012-01-01 12:15:00
NSTU,1/1/2012,1:35 AM,-9999,-9999,N/A,29.78,10.0,NNE,3.5,-,N/A,,Clear,20,2012-01-01 12:35:00
NSTU,1/1/2012,1:55 AM,-9999,-9999,N/A,29.78,10.0,NNW,3.5,-,N/A,,Clear,330,2012-01-01 12:55:00
NSTU,1/1/2012,2:15 AM,-9999,-9999,N/A,29.77,10.0,NNW,3.5,-,N/A,,Clear,340,2012-01-01 13:15:00
NSTU,1/1/2012,2:35 AM,-9999,-9999,N/A,29.76,10.0,Calm,Calm,-,N/A,,Clear,0,2012-01-01 13:35:00
NSTU,1/1/2012,2:55 AM,-9999,-9999,N/A,29.76,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2012-01-01 13:55:00
NSTU,1/1/2012,3:15 AM,-9999,-9999,N/A,29.76,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2012-01-01 14:15:00
NSTU,1/1/2012,3:35 AM,-9999,-9999,N/A,29.76,10.0,Calm,Calm,-,N/A,,Clear,0,2012-01-01 14:35:00
NSTU,1/1/2012,3:55 AM,-9999,-9999,N/A,29.76,10.0,Calm,Calm,-,N/A,,Clear,0,2012-01-01 14:55:00
NSTU,1/1/2012,4:15 AM,-9999,-9999,N/A,29.76,10.0,Calm,Calm,-,N/A,,Clear,0,2012-01-01 15:15:00
NSTU,1/1/2012,4:35 AM,-9999,-9999,N/A,29.76,10.0,WNW,3.5,-,N/A,,Clear,300,2012-01-01 15:35:00
NSTU,1/1/2012,4:55 AM,-9999,-9999,N/A,29.77,10.0,Calm,Calm,-,N/A,,Clear,0,2012-01-01 15:55:00
NSTU,1/1/2012,5:15 AM,-9999,-9999,N/A,29.77,6.0,Calm,Calm,-,N/A,,Clear,0,2012-01-01 16:15:00
