,TimeSST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
1/3/2012 0:15,12:15 AM,27,23,79,1012.4,12.9,NNE,13,25.9,N/A,,Overcast,30,2012-01-03 11:15:00<br />
1/4/2012 0:15,12:15 AM,28,23,74,1012.4,16.1,North,13,29.6,N/A,,Mostly Cloudy,360,2012-01-04 11:15:00<br />
1/5/2012 0:15,12:15 AM,27,23,79,1011.4,16.1,North,14.8,-,N/A,,Partly Cloudy,10,2012-01-05 11:15:00<br />
1/7/2012 0:15,12:15 AM,27,23,79,1008.4,8,NW,16.7,33.3,N/A,,Mostly Cloudy,310,2012-01-07 11:15:00<br />
1/7/2012 0:35,12:35 AM,27,23,79,1008.4,16.1,WNW,9.3,-,N/A,,Overcast,290,2012-01-07 11:35:00<br />
1/7/2012 0:55,12:55 AM,27,23,79,1008,16.1,West,9.3,-,N/A,,Overcast,280,2012-01-07 11:55:00<br />
1/7/2012 1:15,1:15 AM,27,23,79,1007.7,16.1,West,7.4,-,N/A,,Mostly Cloudy,280,2012-01-07 12:15:00<br />
1/7/2012 1:35,1:35 AM,26,23,83,1007.3,16.1,West,7.4,-,N/A,,Partly Cloudy,270,2012-01-07 12:35:00<br />
1/7/2012 1:55,1:55 AM,27,23,79,1007,16.1,West,11.1,-,N/A,,Clear,270,2012-01-07 12:55:00<br />
1/7/2012 2:15,2:15 AM,27,23,79,1006.7,16.1,WNW,7.4,-,N/A,,Partly Cloudy,290,2012-01-07 13:15:00<br />
1/7/2012 2:35,2:35 AM,27,23,79,1006.7,16.1,West,11.1,-,N/A,,Partly Cloudy,280,2012-01-07 13:35:00<br />
1/7/2012 2:55,2:55 AM,27,23,79,1006.3,16.1,WNW,13,-,N/A,,Mostly Cloudy,300,2012-01-07 13:55:00<br />
1/7/2012 3:15,3:15 AM,27,23,79,1006.3,16.1,NW,9.3,-,N/A,,Mostly Cloudy,320,2012-01-07 14:15:00<br />
1/7/2012 3:35,3:35 AM,27,23,79,1006.3,16.1,WNW,14.8,29.6,N/A,,Mostly Cloudy,300,2012-01-07 14:35:00<br />
1/7/2012 3:55,3:55 AM,27,23,79,1006,16.1,WNW,14.8,25.9,N/A,,Mostly Cloudy,300,2012-01-07 14:55:00<br />
1/7/2012 4:15,4:15 AM,27,23,79,1006,16.1,WNW,11.1,-,N/A,,Scattered Clouds,300,2012-01-07 15:15:00<br />
1/7/2012 4:35,4:35 AM,27,23,79,1006.3,16.1,WNW,14.8,-,N/A,,Mostly Cloudy,300,2012-01-07 15:35:00<br />
1/7/2012 4:55,4:55 AM,27,23,79,1006.3,16.1,WNW,14.8,-,N/A,,Partly Cloudy,300,2012-01-07 15:55:00<br />
1/7/2012 5:15,5:15 AM,27,23,79,1006.3,16.1,West,11.1,-,N/A,,Scattered Clouds,280,2012-01-07 16:15:00<br />
1/8/2012 0:15,12:15 AM,26,23,83,1007,16.1,NW,18.5,29.6,N/A,Rain,Light Rain,320,2012-01-08 11:15:00<br />
1/8/2012 0:35,12:35 AM,27,23,79,1006.7,16.1,NNW,24.1,38.9,N/A,Rain,Light Rain,330,2012-01-08 11:35:00<br />
1/8/2012 0:55,12:55 AM,27,23,79,1006.3,16.1,NW,20.4,46.3,N/A,Rain,Light Rain,310,2012-01-08 11:55:00<br />
1/8/2012 1:15,1:15 AM,27,23,79,1006,16.1,NW,20.4,42.6,N/A,Rain,Light Rain,320,2012-01-08 12:15:00<br />
1/8/2012 1:35,1:35 AM,27,24,84,1006,16.1,NW,24.1,38.9,N/A,Rain,Light Rain,320,2012-01-08 12:35:00<br />
1/8/2012 1:55,1:55 AM,27,23,79,1005.6,16.1,WNW,24.1,35.2,N/A,Rain,Light Rain,300,2012-01-08 12:55:00<br />
1/8/2012 2:15,2:15 AM,27,23,79,1005.6,16.1,NW,24.1,37,N/A,Rain,Light Rain,310,2012-01-08 13:15:00<br />
1/8/2012 2:35,2:35 AM,27,23,79,1005.6,16.1,NW,20.4,37,N/A,Rain,Light Rain,320,2012-01-08 13:35:00<br />
1/8/2012 2:55,2:55 AM,27,23,79,1005.3,16.1,NW,22.2,38.9,N/A,Rain,Light Rain,310,2012-01-08 13:55:00<br />
