month	day	year	mm precip
08	14	2008	8445.9
08	15	2008	6.3
08	16	2008	1770.1
08	17	2008	2.0
08	18	2008	0.0
08	19	2008	2568.0
08	20	2008	336.6
08	21	2008	0.3
08	22	2008	0.0
08	23	2008	67.5
08	24	2008	3867.3
08	25	2008	928.3
08	26	2008	2.5
08	27	2008	0.0
08	28	2008	0.0
08	29	2008	0.0
08	30	2008	0.0
08	31	2008	411.8
09	01	2008	4365.5
09	02	2008	16680.6
09	03	2008	3671.4
09	04	2008	7.1
09	05	2008	0.0
09	06	2008	0.0
09	07	2008	0.0
09	08	2008	602.1
09	09	2008	1388.6
09	10	2008	1.0
09	11	2008	0.0
09	12	2008	258.9
09	13	2008	677.6
09	14	2008	0.5
09	15	2008	0.0
09	16	2008	1310.0
09	17	2008	31586.1
09	18	2008	2398.8
09	19	2008	185.0
09	20	2008	0.3
09	21	2008	19.2
09	22	2008	659.8
09	23	2008	0.5
09	24	2008	661.3
09	25	2008	532.1
09	26	2008	0.5
09	27	2008	3532.9
09	28	2008	7159.2
09	29	2008	634.7
09	30	2008	4906.3
10	01	2008	4.1
10	02	2008	0.0
10	03	2008	152.1
10	04	2008	13603.7
10	05	2008	8442.6
10	06	2008	1475.4
10	07	2008	1670.4
10	08	2008	1.8
10	09	2008	1338.2
10	10	2008	132.8
10	11	2008	12376.4
10	12	2008	9.7
10	13	2008	91.5
10	14	2008	807.5
10	15	2008	5773.9
10	16	2008	7.4
10	17	2008	0.0
10	18	2008	0.0
10	19	2008	0.0
10	20	2008	0.0
10	21	2008	1157.2
10	22	2008	1.0
10	23	2008	0.0
10	24	2008	4048.7
10	25	2008	150.0
10	26	2008	0.3
10	27	2008	0.0
10	28	2008	0.0
10	29	2008	0.0
10	30	2008	10102.7
10	31	2008	16.0
11	01	2008	0.0
11	02	2008	0.0
11	03	2008	0.0
11	04	2008	5789.7
11	05	2008	9.1
11	06	2008	842.2
11	07	2008	11498.0
11	08	2008	22875.2
11	09	2008	2860.2
11	10	2008	13.0
11	11	2008	2003.4
11	12	2008	12089.4
11	13	2008	939.3
11	14	2008	1200.2
11	15	2008	17652.8
11	16	2008	1486.2
11	17	2008	8964.6
11	18	2008	16.5
11	19	2008	0.0
11	20	2008	14285.7
11	21	2008	34908.1
11	22	2008	1486.8
11	23	2008	410.0
